dataResourceName,merit/biocollect,digi_vol,citizen_science,non_cs,Scientific,Commercial,Government,Indigenous,Mixed source dataset,"Collection managed (Museum, Herbarium...) ?",Data in Biocache,International,NRM,Data Biocache,CS type
A new pygmy species of box jellyfish (Cubozoa: Chirodropida) from sub-tropical Australia,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,3,NA
A Porongurup free of environmental weeds,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
A Strategy for Reducing Herbicide Pollution in Australia,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
A Verdant Maribyrnong Valley,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
AAD Benthic Sampling Database,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1901,NA
AATAMS Facility Satellite Relay Tagging Program,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Abatus Microsatellites data set 2009/13,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,249,NA
ABBBS Bird Banding records from the Australian Antarctic Territory and Heard Island,N,N,N,N,N,N,N,N,Y,N,Y,N,N,13628,NA
Aboriginal Youth 'Warna' Work on Country: Stage 1,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,NA
ABRS Flora of Australia Online,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,291,NA
Abundances of benthic invertebrate species in the CEAMARC region 2007/08,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,7052,NA
Academy of Natural Sciences OBIS Mollusc Database,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,NA
ACT and Southern Tablelands Weed Spotter,N,N,Y,N,N,N,N,N,N,N,Y,N,N,270,assisted CS
ACT BioBlitz,N,N,Y,N,N,N,N,N,N,N,Y,N,N,789,structured CS
ACT Bioblitz Moth Survey,N,N,Y,N,N,N,N,N,N,N,Y,N,N,352,structured CS
ACT Wildlife Atlas,N,N,N,N,N,N,N,N,Y,N,Y,N,N,11239,NA
AD AVH,N,N,N,N,N,N,N,N,N,Y,Y,N,N,737359,NA
Ad Hoc sightings,N,N,N,N,N,N,N,N,Y,N,N,N,N,0,NA
ADI Site - Cultural and Interpretation Nature Walks,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Administration / MERI Communities (North West landscape of the Border Rivers and Gwydir catchments) Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Adopt-A-Stream,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Advanced Ecological Knowledge and Observation System,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,35628,NA
Adventurers and Scientists for Conservation,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Aesthetic Australian Insects,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Agromyzidae: Leaf-miner Flies of Hawai'i I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,679,NA
Agromyzidae: Leaf-miner Flies of Hawai'i II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,447,NA
Agromyzidae: Leaf-miner Flies of Hawai'i III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,507,NA
Agromyzidae: Leaf-miner Flies of Hawai'i IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,431,NA
AIMS - Baited Remote Underwater Video Station (OBIS Australia),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
AIMS - Bioresources Library (OBIS Australia),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
AIMS - GBR Nearshore Coral Diversity (OBIS Australia),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
AIMS - LTM Nearshore Corals (OBIS Australia),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
AIMS Long-term Monitoring Program: Crown-of-thorns starfish and benthos Manta Tow Data (Great Barrier Reef),N,N,N,Y,Y,N,N,N,N,N,Y,N,N,231,NA
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,147459,NA
ALA species sightings & OzAtlas,N,N,N,N,N,N,N,N,Y,N,N,N,N,0,NA
ALA species sightings and OzAtlas,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,113559,assisted CS
ALA website image uploads,N,N,N,N,N,N,N,N,Y,N,Y,N,N,723,NA
Albany Highway Acceleration Lane: Environmental Assessment,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
Albury to Bandiana Rail Trail Wildlife Corridor Restoration,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Albury Wodonga Nature Map,N,N,N,N,N,N,N,N,Y,N,Y,N,N,724,NA
Alice Springs Field Naturalists Club,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,structured CS
Allan McEvey's 1955 Ornithology Notebook,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's 1966 Journal: NT Bustard Expedition,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Airstrip Journal 1961,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Birds of the World,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Allan McEvey's Field Journal, Macquarie Island, 1957.",N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Allan McEvey's Field Journal: Across the Nullarbor, 1962.",N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Islands Journal: 1964,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Allan McEvey's Journal: Nullarbor – Melbourne, 1962.",N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Ornithology Field Journal 1955-60,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Ornithology Field Journal 1960-70,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Allan McEvey's Southern Victoria Journal No.1: 1967-1984,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Alloura - Re-vegetation of Erosion Gully at Headwaters of Spring Creek,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Alpine Valleys Green Army- Supporting Resilience and Recovery - Ovens,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,structured CS
Amanita Mushrooms at Western Australian Herbarium,N,N,N,N,N,N,N,N,N,Y,Y,N,N,23,NA
Amazon Riverboat Exploration,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,NA
Angas and Bremer Rivers and Wetlands - Enhancing Corridor Biodiversity,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Anglesea, Aireys Inlet Society for the Protection of Flora and Fauna",N,N,Y,N,N,N,N,N,N,N,N,N,N,0,structured CS
"Angourie Heritage Walk - Repair, Protect, Respect and Promote Awareness",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
ANIC Bee Expedition 10,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 6,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 7,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 7,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 8,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Bee Expedition 9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Cicada Expedition 1,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ANIC Cockroach Slides Expedition,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,219,NA
ANIC Plume Moths,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,1357,NA
