dataResourceName,merit/biocollect,digi_vol,citizen_science,non_cs,Scientific,Commercial,Government,Indigenous,Mixed source dataset,"Collection managed (Museum, Herbarium...) ?",Data in Biocache,International,NRM,Data Biocache,CS type
Cyclone Marcia Environmental Recovery of Capricorn Coast Ecosystems #1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Cyclone Marcia Environmental Recovery of Capricorn Coast Ecosystems #2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dadswell Wood Collection at the Australian National University,N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Dadswell Wood Collection at the Australian National University,N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Dalton - Oolong Creek Riparian Demonstration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dandenongs Wandering Tradescantia Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
DAR AVH data,N,N,N,N,N,N,N,N,N,Y,Y,N,N,2300,NA
Darkling Beetles of Hawai'i (Tenebrionidae) I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,621,NA
Darkling Beetles of Hawai'i (Tenebrionidae) II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,521,NA
Darling Scarp Survey,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,7765,NA
Database of Australasian Vertebrate Occurrences,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1884,NA
Database of Marine Larval Fish Assemblages in Australian temperate and subtropical waters 1983 - 2016,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,38445,NA
Deagon Wetlands Fourth Lagoon Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Deal Island - Weed Management Concentrating on Ragwort Control,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Debella Station - Rubber Vine Eradication,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Deen Maar Habitat Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Defending Dodonaea at Devon Downs: Protecting an EPBC Endangered Plant from WoNS,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Deforestation Mapping in Canada,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Delivery of Australian Alps Projects,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Density estimates of spotted handfish (Brachionichthys hirsutus) - GPS Underwater Visual Census (2015,2016)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,170,NA
Department of Agriculture Western Australia Plant Pathogen Collection provider for APPD,N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Department of Conservation and Land Management Terrestrial Invertebrate Collection provider for APPD,N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
"Department of Planning, Industry and Environment, Threatened biodiversity website",N,N,N,Y,N,N,Y,N,N,N,N,N,N,0,NA
DEREN Convergence 2016,N,N,NA,NA,NA,NA,NA,N,NA,NA,N,Y,NA,0,NA
Desert Uplands Story - Elucidating Twenty Years of Desert Country Caring,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Detailed Flora and Vegetation Survey - Wodgina Aerodrome,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
Develop bush foods and artefact site Oxley Reserve - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Develop bush foods and artefact site Oxley Reserve - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Develop bush foods and artefact site Oxley Reserve - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Developing the capacity of the Jarlmadangah Burru Aboriginal Community to rehabilitate country,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,0,NA
Development of a cost-effective entanglement tracking buoy to improve disentanglement rates of large cetaceans,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Diatom abundance from CEAMARC coretop samples 2007/08,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,3604,NA
"Diatom and foraminiferal samples from surficial sediments of Prydz Bay, Antarctica",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,897,NA
Diatoms from SAZ Sediment traps,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,306,NA
Diatoms from the Vestfold Hills Lakes,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,603,NA
Did You See it?,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Did You See It? - Report a Landslide,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Diet results from Adelie penguins at Bechervaise Island and Whitney Point, 2012/13",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,2436,NA
Dirk Hartog Island Birds,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,242,NA
"Distribution of seabirds at sea in the Gulf of Carpentaria, Australia (1990-1991)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,115,NA
"Dive field surveys of site impacted by dredging, Onslow, Western Australia (2013-2015)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,697,NA
Diversity and evolution of Australian Antarctic sea spiders: Understanding species diversification and distribution patterns,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,843,NA
Diving deeper expanding community stewardship of Kangaroo Islands rocky reefs,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
DNA AVH data,N,N,N,N,N,N,N,N,N,Y,Y,N,N,295223,NA
"DNA metabarcoding assays reveal a diverse prey assemblage for Mobula rays in the Bohol Sea, Philippines",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,585,NA
Dognition,N,N,NA,NA,NA,NA,NA,N,NA,NA,N,NA,NA,0,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,603,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,628,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,685,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,564,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i IX,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,602,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i V,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,606,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i VI,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,748,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i VII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,712,NA
Dolichopodidae: The Long-Legged Flies of Hawai'i VIII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,749,NA
Don King Pakistan Diary #3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Dorrigo National Park: World Heritage Area Ecological Restoration Project 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dorrigo National Park: World Heritage Area Ecological Restoration Project 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dorset Mountain Bike Trails Weed Eradication,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dorset Mountain Bike Trails Weed Eradication,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
DragonflyPix.com Australian observations,N,N,N,N,N,N,N,N,Y,N,Y,N,N,447,NA
"Dredge, trawl and bycatch records from the northern section of the Great Barrier Reef, Australia (1991-1996)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,47597,NA
Drimiopsis of Africa,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,153,NA
Drosophila: Non-Hawaii Invasives I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,581,NA
Drosophila: Non-Hawaii Invasives II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,684,NA
Drosophila: Non-Hawaii Invasives III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,517,NA
Drosophila: Non-Hawaii Invasives IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,522,NA
Drosophila: Non-Hawaii Invasives V,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,526,NA
Drosophila: Nudidrosophila,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,561,NA
Drosophilidae Leaf Breeders - Spoonfoot I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,500,NA
Drosophilidae Leaf Breeders - Spoonfoot II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,515,NA
Drosophilidae Leaf Breeders - Spoonfoot III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,489,NA
Drosophilidae Leaf Breeders - Spoonfoot IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,460,NA
Drosophilidae Leaf Breeders - Spoonfoot V,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,462,NA
Drosophilidae Leaf Breeders - Spoonfoot VI,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,620,NA
Drosophilidae Leaf Breeders - Spoonfoot VII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,199,NA
Drosophilidae: Haleakala I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,673,NA
Drosophilidae: Haleakala II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,611,NA
Drosophilidae: Haleakala III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,735,NA
Drosophilidae: Haleakala IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,690,NA
Drought Risk and You (DRY),N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Dry River Catchment Community Invasive Species Mapping and Management Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dubbo Field Naturalist & Conservation Society Inc.,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Duck River Catchment Cumberland Plain Vegetation Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Duck sightings per month, Macquarie Island",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,160,NA
"Dugong (Dugong dugon) in the Kimberley - Aerial surveys, WAMSI Project 1.2.5, Australia (2009-2017)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,4623,NA
Dunal Restoration from Coolum to Alexandra Headlands,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Dunedoo & District's 'Renew, Restore, Educate & Revegetate’ - Stage 1",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Dunedoo & District's 'Renew, Restore, Educate & Revegetate’ - Stage 2",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Dung Beetle Ecosystem Engineers,N,N,N,N,N,N,N,N,Y,N,Y,N,N,3054,NA
DWER,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"Dynamics of a coral reef community, Taiwan (2003 -2014)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,2224,NA
Eagle Point Flora and Fauna Reserve - Environmental Restoration and Enhancement,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eaglehawk Neck Whale viewing platform and interpretation site,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Earlside Remnant Scrub Protection and Corridor Linkage Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Earth Force’s Keep It Clean – Neighborhood Environmental Trios (KIC-NET),N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Earth Guardians Weekly Feed,N,N,Y,N,N,N,N,N,N,N,Y,N,N,350684,assisted CS
East Gippsland Rail Trail Conservation Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
East Gippsland Rail Trail Conservation Project - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
East Gippsland Rail Trail Conservation Project - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
East Gippsland Rail Trail Conservation Project - Stage 4,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
East Torres Strait Seacucumber Survey 2005,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,7268,NA
Eastern Creek Corridor Round 1 - 1 Million Trees,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eastern Creek Corridor Round 2 - 1 Million Trees,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eastern Metropolitan Carnaby's Black Cockatoo Conservation Project - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eastern Metropolitan Carnaby's Black Cockatoo Conservation Project - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eastern Suburbs Banksia Scrub Endangered Ecosystem Awareness Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
eBird Australia,N,N,Y,N,N,N,N,N,N,N,Y,N,N,26644454,structured CS
Echidna-CSI,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,4367,NA
Eco Connective,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ECOCEAN Whale Shark Photo-identification Library,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
ECOLINC: BIODIVERSITY OF THE WESTERN VOLCANIC PLAINS SIGHTINGS,N,N,Y,N,N,N,N,N,N,N,Y,N,N,81,structured CS
Ecologica Barcaldine Aridland Botanical Gardens 2,N,N,N,Y,N,Y,N,N,N,N,N,N,N,0,NA
Ecologica Barcaldine Aridland Botanical Gardens and Park 1,N,N,N,Y,N,Y,N,N,N,N,N,N,N,0,NA
Ecological Restoration of Booligal State Conservation Area - Improving Resilience and Removing Threat - Project 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ecological Restoration of Booligal State Conservation Area - Improving Resilience and Removing Threat - Project 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ecological Restoration of Booligal State Conservation Area - Improving Resilience and Removing Threat - Project 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ecological Restoration of South Pine River at Uralba Park and Undambi Reserve.,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Ecology / Infaunal morphospecies identifications from the Vlaming Sub-basin (GA0334), Australia (2012-2013)",N,N,N,Y,N,N,Y,N,N,N,Y,N,N,8602,NA
Ecology and Zoogeography of Parasites of Antarctic Fish,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,55,NA
Ecophysiology of three habitat-forming seaweeds across a depth and latitudinal gradient in southeastern Australia (2010-2012),N,N,N,Y,Y,N,N,N,N,N,Y,N,N,440,NA
Ecosystem biomonitoring with eDNA: metabarcoding across the tree of life in a tropical marine environment,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,546,NA
Ecosystems of the sandstone region incl. sand-belt (SE of Melb.),N,N,N,Y,Y,N,N,N,N,N,Y,N,N,31,NA
Eden Region Natives - Photos from Jackie Miles,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Educating Mitchell Farmers for a Sustainable Future: Holistic Grazing Management,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Eek of Ecology,N,N,NA,NA,NA,NA,NA,N,NA,NA,N,Y,NA,0,NA
Electron Micrograph Database - Marine Specimens,N,N,N,N,N,N,N,N,N,Y,Y,N,N,3198,NA
Electron Micrograph Database - Terrestrial and Limnetic Specimens,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,736,NA
"Elephant Seal Sightings, Heard Island",N,N,N,Y,N,N,Y,N,N,N,Y,N,N,1794,NA
"Elephant Seal Sightings, Macquarie Island",N,N,N,Y,N,N,Y,N,N,N,Y,N,N,30998,NA
Elgin Road 3 year observations,N,N,Y,N,N,N,N,N,N,N,Y,N,N,54,"unassisted CS, personal obs"
"Ellenbrook Tank and the Inlet and Outlet Main: Flora, Vegetation and Fauna Assessment",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"Emiliania huxleyi populations at the Subantarctic  SOTS and SAM moorings sites, Australia and New Zealand (2009-2012)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,160,NA
"Emiliania huxleyi populations at the Subantarctic SOTS and SAM moorings sites, Australia and New Zealand (2009-2012)",N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Emotional Load of Calls,N,N,NA,NA,NA,NA,NA,N,NA,NA,N,NA,NA,0,NA
Empowering the Capricorn Coast community to protect & enhance the environment.,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enahncing Groundcover in Namoi Farming Systems,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Encyclopedia of Life Images - Flickr Group,N,N,N,N,N,N,N,N,Y,N,Y,N,N,61027,NA
Endangered species protection in North West Queensland through habitat enhancing,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Endangered Species Protection in Richmond,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Engaging Our Community to Improve Soil Health in the West Midlands,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Engaging the Aboriginal community to improve habitat condition and connectivity,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,0,NA
Enhance Matters of National Environmental Significance in the Swan Region through weed & disease management & revegetation,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhance Remnant Native Vegetation in the Yarriambiack Shire,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhanced biodiversity and landscape resilience of Mt Bucca: Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancement of Grey-Headed Flying Fox Habitat in Bardwell Valley,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancement of Swan Bay catchment: Frederick Mason Creek protection and re-veg,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Enhancement of Threatened Species Habitat in Scarborough Park, Monterey",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing a Community Asset - South Coast Community Connection Killalea State Park Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing a Community Asset - South Coast Community Connection Killalea State Park Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing a Community Asset - South Coast Community Connection Killalea State Park Stage 4,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing a Community Asset - South Coast Community Connection Killalea State Park Stage 5,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Enhancing a Community Asset, The South Coast Community Connection KSP, Stage 1",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing biodiversity & revolutionising revegetation techniques,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity and Protecting Cultural Heritage - Kalyarr Group - 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity and Protecting Cultural Heritage - Kalyarr Group - 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity and Protecting Cultural Heritage - Kalyarr Group - 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity and Protecting Threatened Species,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing biodiversity at The Ridge Sporting Facility through revegetation.,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity of the Big Scrub - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity of the Big Scrub - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Biodiversity of the Big Scrub - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing capacity of Indigenous communities to conserve and protect natural resources,N,N,N,N,N,N,N,Y,N,N,N,N,Y,0,NA
Enhancing habitat for woodland bird species across the Mountain - Marine biolink,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing habitat restoration efforts for threatened species on Yorke Peninsula - Project 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Kangaroo Island ecosystems from coast to coast – Project 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Kangaroo Island ecosystems from coast to coast – Project 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Littoral Rainforest Connectivity & Wallis Lake Clean-Up Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Littoral Rainforest Connectivity & Wallis Lake Clean-Up Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing management of Wik and Kugu country biodiversity; A critical corridor f,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Enhancing our endangered woodlands - learning, collecting, growing and planting",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Oyster Harbour Catchment Biodiversity through On-ground Maintenance,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Stewardship in the Central Otways - Tackling Weeds Without Borders,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Strategic Heritage Bushland Connections East of Perth,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing the capacity of Yawuru Rangers to protect and manage Roebuck Bay,N,N,N,N,N,N,N,Y,N,N,N,N,NA,0,NA
Enhancing the Lower Ovens and Riverine Plains through restoration activities 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing the Lower Ovens and Riverine Plains through restoration activities 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing the Matraville Community Asset and Urban Biodiversity,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing the value of existing linkages through species diversity and fencing,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Urban Biodiversity,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Enhancing Urban Biodiversity at Goolwa and Strathalbyn,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Enigmatic declines of Australia’s sea snakes from a biodiversity hotspot. Survey of seasnakes at Ashmore Reef, Australia (1973 - 2007)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,193,NA
Enoggera Creek Bushland Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environment Restoration - Johnstone River Cassowary Corridor Enhancement 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environment Restoration - Johnstone River Cassowary Corridor Enhancement 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environment Restoration - Johnstone River Cassowary Corridor Enhancement 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environment Restoration - Johnstone River Cassowary Corridor Enhancement 4,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Archaeology at Smithsonian Environmental Research Center,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,NA
Environmental Conservation in the Great Southern Region - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Conservation in the Great Southern Region - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Conservation in the Great Southern Region - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental enhancement / North Lakes environmental reserve / weed eradication,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Enhancement of Don River Delta and Adjacent Beaches,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Environmental Regeneration, Revegetation and Weed Control in Muswellbrook Shire",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Rehabilitation / Bundanon Green Army / Weed Control Team # 1,N,N,N,N,N,N,N,Y,N,N,N,N,Y,0,NA
Environmental Rehabilitation / Bundanon Green Army / Weed Control Team # 2,N,N,N,N,N,N,N,Y,N,N,N,N,Y,0,NA
Environmental Restoration / Cattai Wetlands / Weed Control,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Environmental restoration / Redwood Park and Mt. Peel / Weed Control, Revegetation, Fencing",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
"Environmental restoration / rural TRC / weed control, walking track, signs, dingo fence",N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Stewardship Program project on property BGGW_B_MEADW,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Stewardship Program project on property L-024-08,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Stewardship Program project on property M-030-08,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Stewardship Program project on property M-117-08,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Environmental Whale Trail Update,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ephydridae: Shore Flies of Hawai'i I,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Ephydridae: Shore Flies of Hawai'i II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,600,NA
Ephydridae: Shore Flies of Hawai'i III,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,559,NA
Ephydridae: Shore Flies of Hawai'i IV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,585,NA
Ephydridae: Shore Flies of Hawai'i IX,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,411,NA
Ephydridae: Shore Flies of Hawai'i V,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,447,NA
Ephydridae: Shore Flies of Hawai'i VI,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,552,NA
Ephydridae: Shore Flies of Hawai'i VII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,603,NA
Ephydridae: Shore Flies of Hawai'i VIII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,756,NA
Ephydridae: Shore Flies of Hawai'i X,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,423,NA
Ephydridae: Shore Flies of Hawai'i XI,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,412,NA
Ephydridae: Shore Flies of Hawai'i XII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,405,NA
Ephydridae: Shore Flies of Hawai'i XIII,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,815,NA
Ephydridae: Shore Flies of Hawai'i XIV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,447,NA
Ephydridae: Shore Flies of Hawai'i XV,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,440,NA
Ephydridae: Shore Flies of Hawai'i XVI,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,868,NA
Eradication of Willows Cactus Threatening Brigalow Vegetation Community,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
ERBG AVH data,N,N,N,N,N,N,N,N,N,Y,Y,N,N,7600,NA
Eremaea,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Essential Services,N,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
Establish mixed vegetation to connect prior established native vegetation,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Establishing a Landcare network in the Northern Territory,N,N,Y,N,N,N,N,N,N,N,N,NA,NA,0,NA
Establishment of a feral predator-free area at Astrebla Downs National Park,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
EteRNA,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
EucaLink - A Web Guide to the Eucalypts,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Eugenia of the World,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,3788,NA
Eulophidae of Hawai'i I,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,417,NA
Eulophidae of Hawai'i II,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,525,NA
"Euphausiid assemblages of the oceanographically complex north-west marine bioregion of Australia, (2010)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1539,NA
Euroa Grazing Group - Productive and Sustainable Soils Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
