correct_name,provided_name,search_term,common_name,state,lga,shape,list_name
Acacia baileyana,Acacia baileyana,Acacia baileyana,Cootamundra Wattle,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Alternanthera philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides,Alligator Weed,ACT,NA,NA,ACT_Weeds
Ambrosia confertiflora,Ambrosia confertiflora,Ambrosia confertiflora,"Burr Ragweed, Weakleaf Bur Ragweed",ACT,NA,NA,ACT_Weeds
Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia psilostachya,Perennial Ragweed,ACT,NA,NA,ACT_Weeds
Ampelopsis glandulosa brevipedunculata,Ampelopsis glandulosa var. brevipendunculata,Ampelopsis glandulosa brevipedunculata,Porcelain Berry,ACT,NA,NA,ACT_Weeds
Ampelopsis glandulosa brevipedunculata,Ampelopsis glandulosa var. brevipendunculata,Ampelopsis glandulosa var. brevipendunculata,Porcelain Berry,ACT,NA,NA,ACT_Weeds
Andropogon virginicus,Andropogon virginicus,Andropogon virginicus,Whisky Grass,ACT,NA,NA,ACT_Weeds
Anredera cordifolia,Anredera cordifolia,Anredera cordifolia,"Madeira Vine, Lamb's Tail, Jalap, Potato Vine",ACT,NA,NA,ACT_Weeds
Araujia sericifera,Araujia sericifera,Araujia sericifera,"Moth Plant, Moth Vine",ACT,NA,NA,ACT_Weeds
Asparagus asparagoides,Asparagus asparagoides,Asparagus asparagoides,"Bridal Creeper, Florist's Smilax",ACT,NA,NA,ACT_Weeds
Berberis aquifolium,Berberis aquifolium,Berberis aquifolium,"Holly-Leaved Barberry, Oregon Grape",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Bromus tectorum,Bromus tectorum,Bromus tectorum,Drooping Brome,ACT,NA,NA,ACT_Weeds
Buddleja davidii,Buddleja davidii,Buddleja davidii,"Butterfly Bush, Buddleja, Buddleia,",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus clandestinus,Cenchrus clandestinus,Cenchrus clandestinus,"Kikuyu, Kikuyu Grass",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus clandestinus,Cenchrus clandestinus,Pennisetum clandestinum,"Kikuyu, Kikuyu Grass",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus setaceus,Cenchrus setaceus,Cenchrus setaceus,African Fountain Grass,ACT,NA,NA,ACT_Weeds
Cenchrus setaceus,Cenchrus setaceus,Pennisetum setaceum,African Fountain Grass,ACT,NA,NA,ACT_Weeds
Centaurea stoebe subsp. micranthos,Centaurea stoebe subsp. micranthos,Centaurea stoebe subsp. micranthos,Spotted Knapweed,ACT,NA,NA,ACT_Weeds
Cortaderia jubata,Cortaderia jubata,Cortaderia jubata,Pink Pampas Grass,ACT,NA,NA,ACT_Weeds
Cylindropuntia pallida,Cylindropuntia pallida,Cylindropuntia pallida,"Hudson Pear, Hudson's Pear",ACT,NA,NA,ACT_Weeds
Cynoglossum creticum,Cynoglossum creticum,Cynoglossum creticum,Blue Hound's Tongue,ACT,NA,NA,ACT_Weeds
Cytisus scoparius,Cytisus scoparius,Cytisus scoparius,"Scotch Broom, Broom, English Broom",ACT,NA,NA,ACT_Weeds
Eragrostis curvula,Eragrostis curvula,Eragrostis curvula,African Lovegrass,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Fallopia sachalinensis,Fallopia sachalinensis,Fallopia sachalinensis,Giant Knotweed,ACT,NA,NA,ACT_Weeds
Ficaria verna,Ficaria verna,Ficaria verna,Lesser Celandine,ACT,NA,NA,ACT_Weeds
Ficaria verna,Ficaria verna,Ranunculus ficaria,Lesser Celandine,ACT,NA,NA,ACT_Weeds
Freesia leichtlinii subsp. alba,Freesia leichtlinii subsp. alba x Freesia leichtlinii subsp. leichtlinii,Freesia leichtlinii subsp. alba,Freesia,ACT,NA,NA,ACT_Weeds
Freesia leichtlinii subsp. alba,Freesia leichtlinii subsp. alba x Freesia leichtlinii subsp. leichtlinii,Freesia leichtlinii subsp. leichtlinii x Freesia leichtlinii subsp. alba,Freesia,ACT,NA,NA,ACT_Weeds
Gazania linearis,Gazania linearis,Gazania linearis,Gazania,ACT,NA,NA,ACT_Weeds
Genista monspessulana,Genista monspessulana,Genista monspessulana,"Montpellier Broom, Cape Broom",ACT,NA,NA,ACT_Weeds
Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos,"Honey Locust, Thorny Locust",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Hyparrhenia hirta,Hyparrhenia hirta,Hyparrhenia hirta,Coolatai Grass,ACT,NA,NA,ACT_Weeds
Iris pseudacorus,Iris pseudacorus,Iris pseudacorus,"Yellow Flag Iris, Yellow Flag",ACT,NA,NA,ACT_Weeds
Koeleria macrantha,Koeleria macrantha,Koeleria macrantha,Crested Hairy Grass,ACT,NA,NA,ACT_Weeds
Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum vulgare,Ox-Eye Daisy,ACT,NA,NA,ACT_Weeds
Leucanthemum superbum,Leucanthemum x suberbum,Leucanthemum superbum,Shasta Daisy,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Ligustrum lucidum,Ligustrum lucidum,Ligustrum lucidum,"Broad-Leaved Privet, Large-Leaved Privet",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Ligustrum sinense,Ligustrum sinense,Ligustrum sinense,"Chinese Privet, Small-Leaved Privet",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Limnobium laevigatum,Limnobium laevigatum,Limnobium laevigatum,"Amazon Frogbit,  Frogbit",ACT,NA,NA,ACT_Weeds
Limnobium spongia,Limnobium spongia,Limnobium spongia,"Frogbit,  Spongeplant",ACT,NA,NA,ACT_Weeds
Myriophyllum aquaticum,Myriophyllum aquaticum,Myriophyllum aquaticum,Parrot's Feather,ACT,NA,NA,ACT_Weeds
Nassella leucotricha,Nassella leucotricha,Nassella leucotricha,Texas Needle Grass,ACT,NA,NA,ACT_Weeds
Nassella neesiana,Nassella neesiana,Nassella neesiana,Chilean Needlegrass,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Nassella tenuissima,Nassella tenuissima,Nassella tenuissima,Mexican Feather Grass,ACT,NA,NA,ACT_Weeds
Nassella trichotoma,Nassella trichotoma,Nassella trichotoma,Serrated Tussock,ACT,NA,NA,ACT_Weeds
Olea europaea subsp. cuspidata,Olea europaea subsp. cuspidata,Olea europaea subsp. cuspidata,"Olive, African Olive",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Parthenium hysterophorus,Parthenium hysterophorus,Parthenium hysterophorus,Parthenium Weed,ACT,NA,NA,ACT_Weeds
Pilosella officinarum subsp. officinarum,Pilosella officinarum subsp. officinarum,Pilosella officinarum subsp. officinarum,"Mouse-Ear Hawkweed, Showy Copperwire Daisy",ACT,NA,NA,ACT_Weeds
Pilosella officinarum subsp. officinarum,Pilosella officinarum subsp. officinarum,Hieracium pilosella,"Mouse-Ear Hawkweed, Showy Copperwire Daisy",ACT,NA,NA,ACT_Weeds
Pinus radiata,Pinus radiata,Pinus radiata,"Radiata Pine, Monterey Pine",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Prunus serotina,Prunus serotina,Prunus serotina,Wild Black Cherry,ACT,NA,NA,ACT_Weeds
Rubus anglocandicans,Rubus anglocandicans,Rubus anglocandicans,Blackberry,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Rubus leucostachys,Rubus leucostachys,Rubus leucostachys,Blackberry,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Rubus loganobaccus,Rubus loganobaccus,Rubus loganobaccus,Loganberry,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Senecio madagascariensis,Senecio madagascariensis,Senecio madagascariensis,"Fireweed, Madagascan Fireweed",ACT,NA,NA,ACT_Weeds
Solanum sisymbriifolium,Solanum sisymbriifolium,Solanum sisymbriifolium,Viscid Nightshade,ACT,NA,NA,ACT_Weeds
Spartium junceum,Spartium junceum,Spartium junceum,Spanish Broom,ACT,NA,NA,ACT_Weeds
Spathodea campanulata,Spathodea campanulata,Spathodea campanulata,African Tulip Tree,ACT,NA,NA,ACT_Weeds
Tradescantia fluminensis,Tradescantia fluminensis,Tradescantia fluminensis,Wandering Jew,ACT,NA,NA,ACT_Weeds
Didymosphenia geminata,Didymosphenia geminata,Didymosphenia geminata,Didymo,ACT,NA,NA,ACT_Weeds
Xylella fastidiosa,Xylella fastidiosa,Xylella fastidiosa,Xyella,ACT,NA,NA,ACT_Weeds
Puccinia psidii,Puccinia psidii,Puccinia psidii,Myrtle Rust,ACT,NA,NA,ACT_Weeds
Phytophthora cinnamomi,Phytophthora cinnamomi,Phytophthora cinnamomi,Phytophthora,ACT,NA,NA,ACT_Weeds
Acarapis woodi,Acarapis woodi,Acarapis woodi,Honey Bee Tracheal Mite,AUS,NA,NA,AUS_ACPPO
Lissachatina fulica,Achatina fulica,Lissachatina fulica,Giant African Land Snail,AUS,NA,NA,AUS_ACPPO
Lissachatina fulica,Achatina fulica,Achatina fulica,Giant African Land Snail,AUS,NA,NA,AUS_ACPPO
Acrogonia citrina,Acrogonia citrina,Acrogonia citrina,Sharpshooter Leafhopper,AUS,NA,NA,AUS_ACPPO
Acrogonia terminalis,Acrogonia terminalis,Acrogonia terminalis,Sharpshooter Leafhopper,AUS,NA,NA,AUS_ACPPO
Acusta despecta,Acusta despecta,Acusta despecta,Landsnail,AUS,NA,NA,AUS_ACPPO
Amblyseius andersoni,Amblyseius andersoni,Amblyseius andersoni,Mite,AUS,NA,NA,AUS_ACPPO
Amyelois transitella,Amyelois transitella,Amyelois transitella,Navel Orangeworm,AUS,NA,NA,AUS_ACPPO
Anastrepha ludens,Anastrepha ludens,Anastrepha ludens,Mexican Fruit Fly,AUS,NA,NA,AUS_ACPPO
Anoplolepis gracilipes,Anoplolepis gracilipes,Anoplolepis gracilipes,Yellow Crazy Ant,AUS,NA,NA,AUS_ACPPO
Anoplophora chinensis,Anoplophora chinensis,Anoplophora chinensis,Citrus Long-Horned Beetle,AUS,NA,NA,AUS_ACPPO
Anoplophora glabripennis,Anoplophora glabripennis,Anoplophora glabripennis,Asian Long-Horned Beetle,AUS,NA,NA,AUS_ACPPO
Anoplophora chinensis,Anoplophora malasiaca,Anoplophora chinensis,Citrus Long-Horned Beetle,AUS,NA,NA,AUS_ACPPO
Anoplophora chinensis,Anoplophora malasiaca,Anoplophora malasiaca,Citrus Long-Horned Beetle,AUS,NA,NA,AUS_ACPPO
Anoplophora xylophilus,Anoplophora xylophilus,Anoplophora xylophilus,Black and White Citrus Longhorn,AUS,NA,NA,AUS_ACPPO
Aphis fabae,Aphis fabae,Aphis fabae,Black Bean Aphid,AUS,NA,NA,AUS_ACPPO
Apis cerana,Apis cerana,Apis cerana,Asian Honey Bee,AUS,NA,NA,AUS_ACPPO
Apis cerana,"Apis cerana (exotic strains, genotypes and sub-species)",Apis cerana,Asian Honey Bee,AUS,NA,NA,AUS_ACPPO
Apis dorsata,Apis dorsata,Apis dorsata,Giant Honey Bee,AUS,NA,NA,AUS_ACPPO
Apis florea,Apis florea,Apis florea,Dwarf Honey Bee,AUS,NA,NA,AUS_ACPPO
Arhopalus ferus,Arhopalus ferus,Arhopalus ferus,Bark Beetle,AUS,NA,NA,AUS_ACPPO
Bactericera cockerelli,Bactericera cockerelli,Bactericera cockerelli,Tomato/Potato Psyllid,AUS,NA,NA,AUS_ACPPO
Bactericera trigonica,Bactericera trigonica,Bactericera trigonica,Psyllid,AUS,NA,NA,AUS_ACPPO
Bactrocera albistrigata,Bactrocera albistrigata,Bactrocera albistrigata,White Striped Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera carambolae,Bactrocera carambolae,Bactrocera carambolae,Carambola Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera correcta,Bactrocera correcta,Bactrocera correcta,Guava Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera dorsalis,Bactrocera dorsalis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,"Bactrocera dorsalis (syn. B. invadens, B. papayae, B. philippinensis)",Bactrocera dorsalis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,"Bactrocera dorsalis (syn. B. invadens, B. papayae, B. philippinensis)",Bactrocera invadens,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,"Bactrocera dorsalis (syn. B. invadens, B. papayae, B. philippinensis)",Bactrocera papayae,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,"Bactrocera dorsalis (syn. B. invadens, B. papayae, B. philippinensis)",Bactrocera philippinensis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera kirki,Bactrocera kirki,Bactrocera kirki,Fijian Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera latifrons,Bactrocera latifrons,Bactrocera latifrons,Solanum Fruitfly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera papayae,Bactrocera dorsalis,Papaya Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera papayae,Bactrocera papayae,Papaya Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera papayae (now B. dorsalis),Bactrocera dorsalis,Papaya Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera papayae (now B. dorsalis),Bactrocera papayae,Papaya Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera philippinensis,Bactrocera dorsalis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera philippinensis,Bactrocera philippinensis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera philippinensis (now B. dorsalis),Bactrocera dorsalis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera dorsalis,Bactrocera philippinensis (now B. dorsalis),Bactrocera philippinensis,Oriental Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera trivialis,Bactrocera trivialis,Bactrocera trivialis,New Guinea Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bactrocera tsuneonis,Bactrocera tsuneonis,Bactrocera tsuneonis,Japanese Orangefly,AUS,NA,NA,AUS_ACPPO
Bactrocera zonata,Bactrocera zonata,Bactrocera zonata,Peach Fruit Fly,AUS,NA,NA,AUS_ACPPO
Bdellodes haramotoi,Bdellodes haramotoi,Bdellodes haramotoi,Snout Mite,AUS,NA,NA,AUS_ACPPO
Bemisia tabaci,Bemisia tabaci,Bemisia tabaci,Silverleaf Whitefly,AUS,NA,NA,AUS_ACPPO
Bemisia tabaci,Bemisia tabaci (Biotypes other than B and AN),Bemisia tabaci,Silverleaf Whitefly,AUS,NA,NA,AUS_ACPPO
Bemisia tabaci,"Bemisia tabaci (Types Asia 1, China 1, China 2, Asia II (1-8), Italy, Sub-Saharan Africa (1-4), Uganda, New World, Mediterranean, Middle East-Asia Minor 2, Indian Ocean)",Bemisia tabaci,Silverleaf Whitefly,AUS,NA,NA,AUS_ACPPO
Brachyponera chinensis,Brachyponera chinensis,Brachyponera chinensis,Asian Needle Ant,AUS,NA,NA,AUS_ACPPO
Bradysia difformis,Bradysia difformis,Bradysia difformis,Fungus Gnat,AUS,NA,NA,AUS_ACPPO
Bursaphelenchus cocophilus,Bursaphelenchus cocophilus,Bursaphelenchus cocophilus,Red Ring Disease Nematode,AUS,NA,NA,AUS_ACPPO
Bursaphelenchus xylophilus,Bursaphelenchus spp. including B. xylophilus,Bursaphelenchus xylophilus,Pine Wilt Nematode,AUS,NA,NA,AUS_ACPPO
Bursaphelenchus xylophilus,Bursaphelenchus spp. including B. xylophilus,Bursaphelenchus,Pine Wilt Nematode,AUS,NA,NA,AUS_ACPPO
Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,Pine Wilt Nematode,AUS,NA,NA,AUS_ACPPO
Caliothrips fasciatus,Caliothrips fasciatus,Caliothrips fasciatus,Bean Thrip,AUS,NA,NA,AUS_ACPPO
Camponotus pennsylvanicus,Camponotus pennsylvanicus,Camponotus pennsylvanicus,Black Carpenter Ant,AUS,NA,NA,AUS_ACPPO
Cantao ocellatus,Cantao ocellatus,Cantao ocellatus,Shieldbug,AUS,NA,NA,AUS_ACPPO
Caracollina lenticula,Caracollina lenticula,Caracollina lenticula,Lens Snail,AUS,NA,NA,AUS_ACPPO
Cartodere nodifer,Cartodere nodifer,Cartodere nodifer,Scavenger Beetle,AUS,NA,NA,AUS_ACPPO
Cepaea hortensis,Cepaea hortensis,Cepaea hortensis,Smaller Banded Snail,AUS,NA,NA,AUS_ACPPO
Cephus cinctus,Cephus cinctus,Cephus cinctus,Wheat Stem Sawfly,AUS,NA,NA,AUS_ACPPO
Cephus pygmeus,Cephus pygmeaus,Cephus pygmeus,European Stem Sawfly,AUS,NA,NA,AUS_ACPPO
Cephus pygmeus,Cephus pygmeaus,Cephus pygmeaus,European Stem Sawfly,AUS,NA,NA,AUS_ACPPO
Cephus pygmeus,Cephus pygmeus,Cephus pygmeus,European Stem Sawfly,AUS,NA,NA,AUS_ACPPO
Ceratitis capitata,Ceratitis capitata,Ceratitis capitata,Mediterranean Fruit Fly,AUS,NA,NA,AUS_ACPPO
Cheletogenes ornatus,Cheletogenes ornatus,Cheletogenes ornatus,Cheyletid Mite,AUS,NA,NA,AUS_ACPPO
Chelisoches morio,Chelisoches morio,Chelisoches morio,Black Earwig,AUS,NA,NA,AUS_ACPPO
Chilo auricilius,Chilo auricilius,Chilo auricilius,Gold-Fringed Rice Borer,AUS,NA,NA,AUS_ACPPO
Chilo infuscatellus,Chilo infuscatellus,Chilo infuscatellus,Sugarcane Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo orichalcociliella,Chilo orichalcociliella,Chilo orichalcociliella,Coastal Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo orichalcociliella,Chilo orichalcociliellus,Chilo orichalcociliella,Coastal Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo orichalcociliella,Chilo orichalcociliellus,Chilo orichalcociliellus,Coastal Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo partellus,Chilo partellus,Chilo partellus,Spotted Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo polychrysa,Chilo polychrysa,Chilo polychrysa,Dark-Headed Striped Borer,AUS,NA,NA,AUS_ACPPO
Chilo sacchariphagus,Chilo sacchariphagus,Chilo sacchariphagus,Sugarcane Internode Borer,AUS,NA,NA,AUS_ACPPO
Chilo terrenellus,Chilo terrenellus,Chilo terrenellus,Sugarcane Stem Borer,AUS,NA,NA,AUS_ACPPO
Chilo tumidicostalis,Chilo tumidicostalis,Chilo tumidicostalis,Spotted Sugarcane Stem Borer,AUS,NA,NA,AUS_ACPPO
Chirothrips manicatus,Chirothrips manicatus,Chirothrips manicatus,Grass Thrip,AUS,NA,NA,AUS_ACPPO
Cicadella viridis,Cicadella viridis,Cicadella viridis,Green Leafhopper,AUS,NA,NA,AUS_ACPPO
Coccinella septempunctata,Coccinella septempunctata,Coccinella septempunctata,Seven-Spotted Ladybird,AUS,NA,NA,AUS_ACPPO
Coleosoma floridanum,Coleosoma floridanum,Coleosoma floridanum,Cobweb Spider,AUS,NA,NA,AUS_ACPPO
Conopomorpha sinensis,Conopomorpha sinensis,Conopomorpha sinensis,Lychee Fruit Borer,AUS,NA,NA,AUS_ACPPO
Coptotermes formosanus,Coptotermes formosanus,Coptotermes formosanus,Formosan Subterranean Termite,AUS,NA,NA,AUS_ACPPO
Coptotermes gestroi,Coptotermes gestroi,Coptotermes gestroi,Asian Subterranean Termite,AUS,NA,NA,AUS_ACPPO
Cryptotermes brevis,Cryptotermes brevis,Cryptotermes brevis,West Indian Drywood Termite,AUS,NA,NA,AUS_ACPPO
Cryptotermes dudleyi,Cryptotermes dudleyi,Cryptotermes dudleyi,Drywood Termite,AUS,NA,NA,AUS_ACPPO
Ctenopseustis obliquana,Ctenopseustis obliquana,Ctenopseustis obliquana,Brown-Headed Leafroller,AUS,NA,NA,AUS_ACPPO
Cunaxa anomala,Cunaxa anomala,Cunaxa anomala,Predatory Mite,AUS,NA,NA,AUS_ACPPO
Cunaxa setirostris,Cunaxa setirostris,Cunaxa setirostris,Predatory Mite,AUS,NA,NA,AUS_ACPPO
Cyrtorhinus fulvus,Cyrtorhinus fulvus,Cyrtorhinus fulvus,Taro Egg-Sucking Bug,AUS,NA,NA,AUS_ACPPO
Daktulosphaira vitifoliae,Daktulosphaira vitifoliae,Daktulosphaira vitifoliae,Grapevine Phylloxera,AUS,NA,NA,AUS_ACPPO
Daktulosphaira vitifoliae,Daktulosphaira vitifoliae (exotic strains),Daktulosphaira vitifoliae,Grapevine Phylloxera,AUS,NA,NA,AUS_ACPPO
Delia antiqua,Delia antiqua,Delia antiqua,Onion Fly,AUS,NA,NA,AUS_ACPPO
Diaphorina citri,Diaphorina citri,Diaphorina citri,Asian Citrus Psyllid,AUS,NA,NA,AUS_ACPPO
Dilobopterus costalimai,Dilobopterus costalimai,Dilobopterus costalimai,Leafhopper,AUS,NA,NA,AUS_ACPPO
Draeculacephala minerva,Draeculacephala minerva,Draeculacephala minerva,Grass Sharpshooter,AUS,NA,NA,AUS_ACPPO
Drosophila suzukii,Drosophila suzukii,Drosophila suzukii,Spotted-Wing Drosophila,AUS,NA,NA,AUS_ACPPO
Elasmopalpus lignosella,Elasmopalpus lignosellus,Elasmopalpus lignosella,Lesser Cornstalk Borer,AUS,NA,NA,AUS_ACPPO
Elasmopalpus lignosella,Elasmopalpus lignosellus,Elasmopalpus lignosellus,Lesser Cornstalk Borer,AUS,NA,NA,AUS_ACPPO
Eldana saccharina,Eldana saccharina,Eldana saccharina,African Sugarcane Borer,AUS,NA,NA,AUS_ACPPO
Eobania vermiculata,Eobania vermiculata,Eobania vermiculata,Chocolate-Band Snail,AUS,NA,NA,AUS_ACPPO
Erthesina fullo,Erthesina fullo,Erthesina fullo,Yellow-Spotted Stinkbug,AUS,NA,NA,AUS_ACPPO
Forcipomyia pulcherrima,Forcipomyia pulcherrima,Forcipomyia pulcherrima,Biting Midge,AUS,NA,NA,AUS_ACPPO
Frankliniella intonsa,Frankliniella intonsa,Frankliniella intonsa,Flower Thrips,AUS,NA,NA,AUS_ACPPO
Gametis jucunda,Gametis jucunda,Gametis jucunda,Scarab,AUS,NA,NA,AUS_ACPPO
Glaucias subpunctatus,Glaucias subpunctatus,Glaucias subpunctatus,Fruit-Piercing Stinkbug,AUS,NA,NA,AUS_ACPPO
Globodera pallida,Globodera pallida,Globodera pallida,Pale Potato Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Globodera rostochiensis,Globodera rostochiensis,Globodera rostochiensis,Golden Potato Cyst Nematode (Golden),AUS,NA,NA,AUS_ACPPO
Globodera pallida,"Globodera rostochiensis (Pathotypes RO2, RO3, RO4 and RO5)",Globodera pallida,Pale Potato Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Globodera pallida,"Globodera rostochiensis (Pathotypes RO2, RO3, RO4 and RO5)",Globodera rostochiensis,Pale Potato Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Glycycometus malaysiensis,Glycycometus malaysiensis,Glycycometus malaysiensis,Mite,AUS,NA,NA,AUS_ACPPO
Graphocephala atropunctata,Graphocephala atropunctata,Graphocephala atropunctata,Blue-Green Sharpshooter,AUS,NA,NA,AUS_ACPPO
Halyomorpha halys,Halyomorpha halys,Halyomorpha halys,Brown Marmorated Stink Bug,AUS,NA,NA,AUS_ACPPO
Haplothrips aculeatus,Haplothrips aculeatus,Haplothrips aculeatus,Grass Thrip,AUS,NA,NA,AUS_ACPPO
Harmonia axyridis,Harmonia axyridis,Harmonia axyridis,Harlequin Lady Beetle,AUS,NA,NA,AUS_ACPPO
Hendecasis duplifascialis,Hendecasis duplifascialis,Hendecasis duplifascialis,Budworm,AUS,NA,NA,AUS_ACPPO
Heterobostrychus hamatipennis,Heterobostrychus hamatipennis,Heterobostrychus hamatipennis,Oriental Wood Borer,AUS,NA,NA,AUS_ACPPO
Heterodera carotae,Heterodera carotae,Heterodera carotae,Carrot Root Nematode,AUS,NA,NA,AUS_ACPPO
Heterodera filipjevi,Heterodera filipjevi,Heterodera filipjevi,Cereal Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Heterodera glycines,Heterodera glycines,Heterodera glycines,Soybean Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Heterodera latipons,Heterodera latipons,Heterodera latipons,Mediterranean Cereal Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Heterodera sorghi,Heterodera sorghi,Heterodera sorghi,Maize Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Heterodera zeae,Heterodera zeae,Heterodera zeae,Corn Cyst Nematode,AUS,NA,NA,AUS_ACPPO
Homalodisca vitripennis,Homalodisca vitripennis,Homalodisca vitripennis,Glassy-Winged Sharpshooter,AUS,NA,NA,AUS_ACPPO
Homalodisca vitripennis,Homalodisca vitripennis (syn. Homalodisca coagulata),Homalodisca vitripennis,Glassy-Winged Sharpshooter,AUS,NA,NA,AUS_ACPPO
Homalodisca vitripennis,Homalodisca vitripennis (syn. Homalodisca coagulata),Homalodisca coagulata,Glassy-Winged Sharpshooter,AUS,NA,NA,AUS_ACPPO
Homalodisca vitripennis,Homalodisca vitripennis (with Xylella fastidiosa),Homalodisca vitripennis,Glassy-Winged Sharpshooter,AUS,NA,NA,AUS_ACPPO
Hypothenemus hampei,Hypothenemus hampei,Hypothenemus hampei,Coffee Berry Borer,AUS,NA,NA,AUS_ACPPO
Incisitermes minor,Incisitermes minor,Incisitermes minor,Western Drywood Termite,AUS,NA,NA,AUS_ACPPO
Ingella bullager,Ingella bullager,Ingella bullager,Beetle Mite,AUS,NA,NA,AUS_ACPPO
Lasius neglectus,Lasius neglectus,Lasius neglectus,Invasive Garden Ant,AUS,NA,NA,AUS_ACPPO
Latrodectus mactans,Latrodectus mactans,Latrodectus mactans,Cobweb Spider,AUS,NA,NA,AUS_ACPPO
Lepisiota frauenfeldi,Lepisiota frauenfeldi,Lepisiota frauenfeldi,Browsing Ant,AUS,NA,NA,AUS_ACPPO
Leptoglossus occidentalis,Leptoglossus occidentalis,Leptoglossus occidentalis,Western Conifer Seed Bug,AUS,NA,NA,AUS_ACPPO
Liriomyza bryoniae,Liriomyza bryoniae,Liriomyza bryoniae,Tomato Leaf Miner,AUS,NA,NA,AUS_ACPPO
Liriomyza cicerina,Liriomyza cicerina,Liriomyza cicerina,Chickpea Leaf Miner,AUS,NA,NA,AUS_ACPPO
Liriomyza huidobrensis,Liriomyza huidobrensis,Liriomyza huidobrensis,Serpentine Leaf Miner,AUS,NA,NA,AUS_ACPPO
Liriomyza sativae,Liriomyza sativae,Liriomyza sativae,Vegetable Leaf Miner,AUS,NA,NA,AUS_ACPPO
Liriomyza trifolii,Liriomyza trifolii,Liriomyza trifolii,American Serpentine Leaf Miner,AUS,NA,NA,AUS_ACPPO
Lissachatina fulica,Lissachatina fulica,Lissachatina fulica,Giant African Land Snail,AUS,NA,NA,AUS_ACPPO
Lissachatina fulica,Lissachatina fulica (syn. Achatina fulica),Lissachatina fulica,Giant African Land Snail,AUS,NA,NA,AUS_ACPPO
Lissachatina fulica,Lissachatina fulica (syn. Achatina fulica),Achatina fulica,Giant African Land Snail,AUS,NA,NA,AUS_ACPPO
Lorryia reticulata,Lorryia reticulata,Lorryia reticulata,Reticulate Mite,AUS,NA,NA,AUS_ACPPO
