occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,,,Phylum,Count,,,Genus,count,,dataResourceName,Count,,,,dataResourceName
,Euphorbia esula,Euphorbia esula L.,8203538,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia esula,Euphorbia esula,L.,8203538,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Corvus splendens,"Corvus splendens Vieillot, 1817",2482499,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus splendens,Corvus splendens,"Vieillot, 1817",2482499,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Hemigrapsus sanguineus,"Hemigrapsus sanguineus (De Haan, 1835)",2225772,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus sanguineus,Hemigrapsus sanguineus,"(De Haan, 1835) ",2225772,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Austropuccinia psidii,Austropuccinia psidii (G.Winter) Beenken,9739431,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia,Austropuccinia psidii,Austropuccinia psidii,(G.Winter) Beenken,9739431,,,,,,,,,,,,,,,,iNaturalist Australia
,Senecio inaequidens,Senecio inaequidens DC.,3109086,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio inaequidens,Senecio inaequidens,DC.,3109086,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Perca fluviatilis,"Perca fluviatilis Linnaeus, 1758",8140485,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Percidae,Perca,Perca fluviatilis,Perca fluviatilis,"Linnaeus, 1758",8140485,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Xiphophorus hellerii,"Xiphophorus hellerii Heckel, 1848",8246728,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus hellerii,Xiphophorus hellerii,"Heckel, 1848",8246728,,,,,,,,,,,,,,,,iNaturalist Australia
,Poecilia latipinna,"Poecilia latipinna (Lesueur, 1821)",5203752,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia latipinna,Poecilia latipinna,"(Lesueur, 1821) ",5203752,,,,,,,,,,,,,,,,iNaturalist Australia
,Xiphophorus hellerii,"Xiphophorus hellerii Heckel, 1848",8246728,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus hellerii,Xiphophorus hellerii,"Heckel, 1848",8246728,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Amniataba percoides,"Amniataba percoides (Günther, 1864)",2374606,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Terapontidae,Amniataba,Amniataba percoides,Amniataba percoides,"(Günther, 1864) ",2374606,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Xiphophorus maculatus,"Xiphophorus maculatus (Günther, 1866)",2350164,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus maculatus,Xiphophorus maculatus,"(Günther, 1866) ",2350164,,,,,,,,,,,,,,,,iNaturalist Australia
,Perca fluviatilis,"Perca fluviatilis Linnaeus, 1758",8140485,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Percidae,Perca,Perca fluviatilis,Perca fluviatilis,"Linnaeus, 1758",8140485,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Amniataba percoides,"Amniataba percoides (Günther, 1864)",2374606,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Terapontidae,Amniataba,Amniataba percoides,Amniataba percoides,"(Günther, 1864) ",2374606,,,,,,,,,,,,,,,,iNaturalist Australia
,Gambusia,"Gambusia Poey, 1854",2349552,EXACT,94,ACCEPTED,GENUS,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,,Gambusia,"Poey, 1854",2349552,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Pelmatolapia mariae,"Pelmatolapia mariae (Boulenger, 1899)",9552432,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Pelmatolapia,Pelmatolapia mariae,Pelmatolapia mariae,"(Boulenger, 1899) ",9552432,,,,,,,,,,,,,,,,iNaturalist Australia
,Pelmatolapia mariae,"Pelmatolapia mariae (Boulenger, 1899)",9552432,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Pelmatolapia,Pelmatolapia mariae,Pelmatolapia mariae,"(Boulenger, 1899) ",9552432,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Tridentiger trigonocephalus,"Tridentiger trigonocephalus (Gill, 1859)",2376462,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Gobiidae,Tridentiger,Tridentiger trigonocephalus,Tridentiger trigonocephalus,"(Gill, 1859) ",2376462,,,,,,,,,,,,,,,,iNaturalist Australia
,Perca fluviatilis,"Perca fluviatilis Linnaeus, 1758",8140485,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Percidae,Perca,Perca fluviatilis,Perca fluviatilis,"Linnaeus, 1758",8140485,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Tridentiger trigonocephalus,"Tridentiger trigonocephalus (Gill, 1859)",2376462,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Gobiidae,Tridentiger,Tridentiger trigonocephalus,Tridentiger trigonocephalus,"(Gill, 1859) ",2376462,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Xiphophorus hellerii,"Xiphophorus hellerii Heckel, 1848",8246728,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus hellerii,Xiphophorus hellerii,"Heckel, 1848",8246728,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Caulerpa taxifolia,Caulerpa taxifolia (M.Vahl) C.Agardh,2643172,EXACT,99,ACCEPTED,SPECIES,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,(M.Vahl) C.Agardh,2643172,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Gambusia affinis,"Gambusia affinis (Baird & Girard, 1853)",2350580,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,Gambusia affinis,"(Baird & Girard, 1853) ",2350580,,,,,,,,,,,,,,,,iNaturalist Australia
,Undaria pinnatifida,Undaria pinnatifida (Harv.) Suringar,5422556,EXACT,99,ACCEPTED,SPECIES,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,Undaria pinnatifida,(Harv.) Suringar,5422556,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Caulerpa taxifolia,Caulerpa taxifolia (M.Vahl) C.Agardh,2643172,EXACT,99,ACCEPTED,SPECIES,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,(M.Vahl) C.Agardh,2643172,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Gambusia,"Gambusia Poey, 1854",2349552,EXACT,94,ACCEPTED,GENUS,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,,Gambusia,"Poey, 1854",2349552,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Perca fluviatilis,"Perca fluviatilis Linnaeus, 1758",8140485,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Percidae,Perca,Perca fluviatilis,Perca fluviatilis,"Linnaeus, 1758",8140485,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Sabella spallanzanii,"Sabella spallanzanii (Gmelin, 1791)",2328603,EXACT,97,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii,"(Gmelin, 1791) ",2328603,,,,,,,,,,,,,,,,iNaturalist Australia
,Undaria pinnatifida,Undaria pinnatifida (Harv.) Suringar,5422556,EXACT,99,ACCEPTED,SPECIES,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,Undaria pinnatifida,(Harv.) Suringar,5422556,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",2372396,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus,Oreochromis mossambicus,"(Peters, 1852) ",2372396,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Asterias amurensis,"Asterias amurensis Lutken, 1871",5187508,EXACT,99,ACCEPTED,SPECIES,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias amurensis,Asterias amurensis,"Lutken, 1871",5187508,,,,,,,,,,,,,,,,iNaturalist Australia
,Carcinus maenas,"Carcinus maenas (Linnaeus, 1758)",5178595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,"(Linnaeus, 1758) ",5178595,,,,,,,,,,,,,,,,iNaturalist Australia
,Gambusia,"Gambusia Poey, 1854",2349552,EXACT,94,ACCEPTED,GENUS,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,,Gambusia,"Poey, 1854",2349552,,,,,,,,,,,,,,,,iNaturalist Australia
,Caulerpa taxifolia,Caulerpa taxifolia (M.Vahl) C.Agardh,2643172,EXACT,99,ACCEPTED,SPECIES,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,(M.Vahl) C.Agardh,2643172,,,,,,,,,,,,,,,,iNaturalist Australia
