recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,multimedia,media_id,videos,sounds,vernacularName,genus,species,subspecies,cl22,cl10923,cl1048,cl966,cl21,firstLoadedDate,basisOfRecord,match,search_term,correct_name,provided_name,common_name,state,lga,shape,list_name,cw_state,shape_feature,creator,license,mimetype,width,height,image_url,download_path,date_sent
5f575123-f0b5-4f33-9e27-642b860e70c2,Protaetia fusca,https://biodiversity.org.au/afd/taxa/c0fe6d29-9616-4d65-8f9f-421f0329ef03,-28.063282,117.849424,2022-12-25T00:59:00Z,PRESENT,iNaturalist Australia,Image,76d77786-91ac-41fb-b8c4-83e8334a046c,NA,NA,Mottled Flower Scarab,Protaetia,Protaetia fusca,NA,Western Australia,SHIRE OF MOUNT MAGNET,Murchison,NA,NA,2023-01-02 00:06:57.132,HUMAN_OBSERVATION,NA,NA,Protaetia fusca,NA,Hawaiian Scarab,NA,NA,NA,AUS_ACPPO,WA,NA,simono,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1103,893,https://images.ala.org.au/image/76d77786-91ac-41fb-b8c4-83e8334a046c/thumbnail,cache/species_images/76d77786-91ac-41fb-b8c4-83e8334a046c.jpg,2023-01-11
5c06862d-e850-44f7-bd83-b785a86dcb4a,Linepithema humile,https://biodiversity.org.au/afd/taxa/9bcc63e8-cd5c-488a-8d11-56764f578119,-34.915025,138.765612,2022-12-25T10:54:00Z,PRESENT,iNaturalist Australia,Image,ffbcfc13-736c-4835-8229-c0e85f8a97ad,NA,NA,NA,Linepithema,Linepithema humile,NA,South Australia,ADELAIDE HILLS COUNCIL,Flinders Lofty Block,NA,NA,2023-01-02 00:06:57.74,HUMAN_OBSERVATION,NA,NA,Linepithema humile,NA,Argentine Ant,NA,NA,NA,AUS_ACPPO,SA,NA,Andrew Humpage,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,958,1037,https://images.ala.org.au/image/ffbcfc13-736c-4835-8229-c0e85f8a97ad/thumbnail,cache/species_images/ffbcfc13-736c-4835-8229-c0e85f8a97ad.jpg,2023-01-11
1aea74aa-f7d3-4922-a723-20a92e1ecb7e,Protaetia fusca,https://biodiversity.org.au/afd/taxa/c0fe6d29-9616-4d65-8f9f-421f0329ef03,-27.306518,153.022907,2022-12-26T06:26:45Z,PRESENT,iNaturalist Australia,Image,27549540-1730-4a58-bdc6-34a5e1c86431,NA,NA,Mottled Flower Scarab,Protaetia,Protaetia fusca,NA,Queensland,BRISBANE CITY,South Eastern Queensland,NA,NA,2023-01-02 00:06:57.561,HUMAN_OBSERVATION,NA,NA,Protaetia fusca,NA,Hawaiian Scarab,NA,NA,NA,AUS_ACPPO,QLD,NA,krunchfrog,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1271,1359,https://images.ala.org.au/image/27549540-1730-4a58-bdc6-34a5e1c86431/thumbnail,cache/species_images/27549540-1730-4a58-bdc6-34a5e1c86431.jpg,2023-01-11
f7ed7896-8782-4372-948d-e3ab334bd7a3,Austropuccinia psidii,NZOR-6-102802,-27.278125,152.925783,2022-12-28T07:37:00Z,PRESENT,iNaturalist Australia,Image,7e75025a-dcb5-4c54-9aed-d1936932924f,NA,NA,NA,NA,NA,NA,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,Austropuccinia psidii,NA,Myrtle rust,NA,NA,NA,AUS_CEBO,QLD,NA,jason_ramsay,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/image/7e75025a-dcb5-4c54-9aed-d1936932924f/thumbnail,cache/species_images/7e75025a-dcb5-4c54-9aed-d1936932924f.jpg,2023-01-11
11c19c12-da02-4fd2-888b-ac53a550e7eb,Gryllodes sigillatus,ALA_DR18234_355,-26.862587,152.952117,2022-12-29T06:04:26Z,PRESENT,iNaturalist Australia,Image,4586ba1e-8a90-4294-a111-45a31139fd38,NA,NA,Indian House Cricket,Gryllodes,NA,NA,Queensland,SUNSHINE COAST REGIONAL,South Eastern Queensland,NA,NA,2023-01-02 00:06:57.561,HUMAN_OBSERVATION,NA,NA,Gryllodes sigillatus,NA,Indian House Cricket,NA,NA,NA,AUS_ACPPO,QLD,NA,master01,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/4586ba1e-8a90-4294-a111-45a31139fd38/thumbnail,cache/species_images/4586ba1e-8a90-4294-a111-45a31139fd38.jpg,2023-01-11
8a9de9a5-91c9-42a8-800a-9e9caf02991c,Austropuccinia psidii,NZOR-6-102802,-26.593855,152.727813,2022-12-30T00:50:05Z,PRESENT,iNaturalist Australia,Image,691d0758-b0b6-432e-b38e-0d9b724c02e7,NA,NA,NA,Austropuccinia,Austropuccinia psidii,NA,Queensland,SUNSHINE COAST REGIONAL,South Eastern Queensland,NA,NA,2023-01-02 00:06:58.599,HUMAN_OBSERVATION,NA,NA,Austropuccinia psidii,NA,Myrtle rust,NA,NA,NA,AUS_CEBO,QLD,NA,Greg Tasney,http://creativecommons.org/licenses/by-sa/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/691d0758-b0b6-432e-b38e-0d9b724c02e7/thumbnail,cache/species_images/691d0758-b0b6-432e-b38e-0d9b724c02e7.jpg,2023-01-11
11edf7ca-3196-4de1-a39c-03ab9f5c95b7,Cochlicella barbara,ALA_DR18234_202,-36.461786,145.388032,2022-12-30T05:25:31Z,PRESENT,iNaturalist Australia,Image,09b7981d-4e17-4721-811f-0f5ba33830ff,NA,NA,White Snail,Cochlicella,NA,NA,Victoria,GREATER SHEPPARTON CITY,Riverina,NA,NA,2023-01-02 00:06:57.561,HUMAN_OBSERVATION,NA,NA,Cochlicella barbara,NA,White Snail,NA,NA,NA,AUS_ACPPO,VIC,NA,kiallaw77,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,921,2048,https://images.ala.org.au/image/09b7981d-4e17-4721-811f-0f5ba33830ff/thumbnail,cache/species_images/09b7981d-4e17-4721-811f-0f5ba33830ff.jpg,2023-01-11
5e6e454b-fceb-4ecf-8ec9-05b3606c2a59,Ceratitis capitata,https://biodiversity.org.au/afd/taxa/38d46ddf-c4c9-47e9-bc2f-040cad0b8bc7,-31.944165,116.004477,2022-12-31T00:41:00Z,PRESENT,iNaturalist Australia,Image,7d930ed9-4dbe-4a66-abb6-4be440c149a6,NA,NA,Medfly,Ceratitis,Ceratitis capitata,NA,Western Australia,CITY OF KALAMUNDA,Swan Coastal Plain,NA,NA,2023-01-02 00:06:58.599,HUMAN_OBSERVATION,NA,NA,Ceratitis capitata,NA,Mediterranean fruit fly,NA,NA,NA,AUS_ACPPO,WA,NA,Cheryl Macaulay,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1338,https://images.ala.org.au/image/7d930ed9-4dbe-4a66-abb6-4be440c149a6/thumbnail,cache/species_images/7d930ed9-4dbe-4a66-abb6-4be440c149a6.jpg,2023-01-11
3574f1c6-caec-4e27-a252-b95703fd58ed,Oreochromis mossambicus,https://biodiversity.org.au/afd/taxa/913059fd-9ea1-4e9f-a8d7-8c70cc77521e,-16.901794,145.75038,2023-01-30T13:00:00Z,PRESENT,iNaturalist Australia,Image,8020af85-e48e-4664-b6c4-c1fc3f919c8b,NA,NA,Tilapia,Oreochromis,Oreochromis mossambicus,NA,Queensland,CAIRNS REGIONAL,Wet Tropics,NA,NA,2023-02-06 00:09:24.18,HUMAN_OBSERVATION,NA,NA,Oreochromis mossambicus,NA,Mozambique tilapia,NA,NA,NA,NSW_Marine,QLD,NA,fubberpish,http://creativecommons.org/licenses/by-nc/4.0/,image/png,1648,924,https://images.ala.org.au/image/8020af85-e48e-4664-b6c4-c1fc3f919c8b/original,cache/species_images/8020af85-e48e-4664-b6c4-c1fc3f919c8b.png,2023-02-09
c86e9d50-ef32-4981-ac4e-995c7363c3db,Oreochromis mossambicus,https://biodiversity.org.au/afd/taxa/913059fd-9ea1-4e9f-a8d7-8c70cc77521e,-16.901794,145.75038,2023-01-30T13:00:00Z,PRESENT,iNaturalist Australia,Image,0376b57c-ca28-42b4-ae9b-78458cc2423f,NA,NA,Tilapia,Oreochromis,Oreochromis mossambicus,NA,Queensland,CAIRNS REGIONAL,Wet Tropics,NA,NA,2023-02-06 00:09:24.032,HUMAN_OBSERVATION,NA,NA,Oreochromis mossambicus,NA,Mozambique tilapia,NA,NA,NA,NSW_Marine,QLD,NA,fubberpish,http://creativecommons.org/licenses/by-nc/4.0/,image/png,1656,928,https://images.ala.org.au/image/0376b57c-ca28-42b4-ae9b-78458cc2423f/original,cache/species_images/0376b57c-ca28-42b4-ae9b-78458cc2423f.png,2023-02-09
