species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
eudyptula minor,NMV,Phillip Island,Victoria,Australia,2,m,,
eudyptula minor,NMV,Portsea,Victoria,Australia,1,m,,
eudyptula minor,NMV,Lorne,,Australia,1,m,,
eudyptula minor,NMV,Seaford Beach,Victoria,Australia,1,m,,Seaford VIC (beach)
eudyptula minor,NMV,Phillip Island,Victoria,Australia,1,f,,
eudyptula minor,NMV,Fairhaven Beach,Victoria,Australia,1,f,,
eudyptula minor,NMV,Apollo Bay,Victoria,Australia,1,f,,
eudyptula minor,NMV,Warnambool,Victoria,Australia,1,f,,
eudyptula minor,Wellington,Banks Peninsula,,New Zealand,3,m,hybrid with Albosignata,
eudyptula minor,Wellington,Christchurch ,,New Zealand,1,m,hybrid with Albosignata,
eudyptula minor,Wellington,Waipara,,New Zealand,1,m,hybrid with Albosignata,
eudyptula minor,Wellington,Diamond Harbour,,New Zealand,1,m,hybrid with Albosignata,
eudyptula minor,Wellington,Otago Peninsula,,New Zealand,1,f,hybrid with Albosignata,
eudyptula minor,Wellington,Taylor's Mistake,,New Zealand,1,f,hybrid with Albosignata,
eudyptula minor,Wellington,Banks Peninsula,,New Zealand,1,f,hybrid with Albosignata,
eudyptula minor,Wellington,Lake Jerry,,,1,f,hybrid with Albosignata,
eudyptula minor,Wellington,Wellington,,New Zealand,1,f,hybrid with Albosignata,
eudyptula minor,Wellington,Goolwa,South Australia,Australia,3,m,novaehollandiae,novaehollandiae typical
eudyptula minor,Wellington,Phillip Island,Victoria,Australia,1,m,novaehollandiae,novaehollandiae typical
eudyptula minor,Wellington,Goolwa,South Australia,Australia,1,f,novaehollandiae,novaehollandiae typical
eudyptula minor,Wellington,D'Entrecasteaux Channel,Tasmania,Australia,1,f,novaehollandiae,novaehollandiae typical
eudyptula minor,Wellington,,Chatham Islands,New Zealand,13,m,,
eudyptula minor,Wellington,,Chatham Islands,New Zealand,1,f,,Paratype 13654
eudyptula minor,Wellington,,Chatham Islands,New Zealand,6,f,,
eudyptula minor,Wellington,Bobby's Head,,New Zealand,2,m,nominate minor,
eudyptula minor,Wellington,Otago Peninsula,,New Zealand,3,m,nominate minor,
eudyptula minor,Wellington,Oreti Beach,,New Zealand,1,m,nominate minor,
eudyptula minor,Wellington,Taiaroa Heads,,New Zealand,1,m,nominate minor,
eudyptula minor,Wellington,Motunui,,New Zealand,3,m,nominate minor,
eudyptula minor,Wellington,Okarito,,New Zealand,1,m,nominate minor,
eudyptula minor,Wellington,Aby Rocks,,,1,m,nominate minor,
eudyptula minor,Wellington,Open Bay Islands,,New Zealand,1,m,nominate minor,
