species_name,museum_name,location,state,country,n_records,sex,subspecies,notes,extra_notes
Trichoglossus haematodus,AM,,,New Guinea,1,,flavicans,30608,
Trichoglossus haematodus,AM,San Cristobal,,Solomon Islands,1,m,mascana x micropsteryx?,mascana/micropsteryx?,
Trichoglossus haematodus,AM,,,New Guinea,1,,forsteni,12993,
Trichoglossus haematodus,AM,,,,1,,mitchelli,0.35214,
Trichoglossus haematodus,ANWC,Bougainville,,Papua New Guinea,8,m,massena,,
Trichoglossus haematodus,ANWC,Bougainville,,Papua New Guinea,5,f,massena,,
Trichoglossus haematodus,ANWC,Lake Kutubu and Herzog Mountains,,Papua New Guinea,11,m,massena,SENG - southeast New Guinea? ,
Trichoglossus haematodus,ANWC,Lake Kutubu and Herzog Mountains,,Papua New Guinea,25,f,massena,SENG - southeast New Guinea? ,
Trichoglossus haematodus,ANWC,Bernhard Camp to Sepik and Wahgi Valley,,Papua New Guinea,11,m,intermedius,,
Trichoglossus haematodus,ANWC,Bernhard Camp to Sepik and Wahgi Valley,,Papua New Guinea,5,f,intermedius,,
Trichoglossus haematodus,,,Maluku Islands,Indonesia,51,m,,New Guinea and Moluccas,
Trichoglossus haematodus,,,Maluku Islands,Indonesia,35,f,,New Guinea and Moluccas,
Trichoglossus haematodus,QM,Roper River,Northern Territory,Australia,12,m,rubritorquis,Ngukurr?,
Trichoglossus haematodus,QM,Doomadgee,Queensland,Australia,1,f,rubritorquis,,
Trichoglossus haematodus,QM,Portland Road,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Wenlock,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Iron Range,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Browns Creek,Queensland,Australia,2,m,rubritorquis,subsp unclear- loc Browns Creek/Pascoe River,
Trichoglossus haematodus,QM,,Queensland,Australia,1,m,rubritorquis,subsp unclear- loc Peach/Poach River unclear,
Trichoglossus haematodus,QM,Yappar River,Queensland,Australia,1,m,rubritorquis,subsp unclear- loc Yappar River/Glenora,
Trichoglossus haematodus,QM,Prince of Wales Island,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Iron Range,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Browns Creek,Queensland,Australia,1,f,rubritorquis,subsp unclear- loc Browns Creek/Pascoe River,
Trichoglossus haematodus,QM,Cape York,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Endeavour Road- Cooktown,Queensland,Australia,2,m,,subsp unclear,
Trichoglossus haematodus,QM,South Cooktown- Mt Forest area - Ford,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Gap Creek 40 miles south of Cooktown,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Mossman,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Aitkenvale,Queensland,Australia,1,m,,subsp unclear,
