species_name,museum_name,location,state,country,n_records,sex,subspecies,
cacatua pastinator,SAMA,Carnamah,Western Australia,Australia,2,m,derbyi,
cacatua pastinator,SAMA,Carnamah,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,AM,King George Sound,Western Australia,Australia,1,m,pastinator,
cacatua pastinator,AM,King George Sound,Western Australia,Australia,1,f,pastinator,
cacatua pastinator,AMNH,Lake Muir,Western Australia,Australia,3,m,,
cacatua pastinator,AMNH,Lake Muir,Western Australia,Australia,5,f,,
cacatua pastinator,AMNH,Broomehill (Etiup?),Western Australia,Australia,1,,,
cacatua pastinator,AMNH,Derby,Western Australia,Australia,1,,,
cacatua pastinator,ANWC,Tone River Bridge,Western Australia,Australia,3,m,pastinator,
cacatua pastinator,ANWC,Mordalup,Western Australia,Australia,6,m,pastinator,
cacatua pastinator,ANWC,Tone River Bridge,Western Australia,Australia,4,f,pastinator,
cacatua pastinator,ANWC,Mayanup,Western Australia,Australia,2,f,pastinator,
cacatua pastinator,ANWC,Mordalup,Western Australia,Australia,2,f,pastinator,
cacatua pastinator,WAM,Cuballing,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,WAM,Yandanooka,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,WAM,Morawa,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,WAM,Carnamah,Western Australia,Australia,2,m,derbyi,
cacatua pastinator,WAM,Coorow,Western Australia,Australia,6,m,derbyi,
cacatua pastinator,WAM,Three Springs,Western Australia,Australia,7,m,derbyi,
cacatua pastinator,WAM,Cockleshell Gully,Western Australia,Australia,4,m,derbyi,
cacatua pastinator,WAM,Dandaragan,Western Australia,Australia,4,m,derbyi,
cacatua pastinator,WAM,Wongan Hills,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,WAM,Ebano,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,WAM,Coorow,Western Australia,Australia,5,f,derbyi,
cacatua pastinator,WAM,Three Springs,Western Australia,Australia,6,f,derbyi,
cacatua pastinator,WAM,Carnamah,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,WAM,Moora,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,WAM,Dandaragan,Western Australia,Australia,4,f,derbyi,
cacatua pastinator,WAM,Wubin,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,ANWC,Cockleshell Gully,Western Australia,Australia,2,m,derbyi,
cacatua pastinator,ANWC,Merredin,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,ANWC,Three Springs,Western Australia,Australia,7,m,derbyi,
cacatua pastinator,ANWC,Coorow,Western Australia,Australia,3,m,derbyi,
cacatua pastinator,ANWC,Gutha,Western Australia,Australia,1,m,derbyi,
cacatua pastinator,ANWC,Three Springs,Western Australia,Australia,8,f,derbyi,
cacatua pastinator,ANWC,Coorow,Western Australia,Australia,8,f,derbyi,
cacatua pastinator,ANWC,Carnamah,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,ANWC,Dongara,Western Australia,Australia,4,f,derbyi,
cacatua pastinator,ANWC,Gutha,Western Australia,Australia,2,f,derbyi,
cacatua pastinator,ANWC,Cockleshell Gully,Western Australia,Australia,1,f,derbyi,
cacatua pastinator,ANWC,,,,1,m,derbyi,recorded as 'locality C3'
cacatua pastinator,MV,Lake Muir,Western Australia,Australia,2,m,,
cacatua pastinator,MV,York,Western Australia,Australia,2,m,,
cacatua pastinator,MV,Dongara,Western Australia,Australia,6,m,,
cacatua pastinator,MV,Lake Muir,Western Australia,Australia,1,f,,
cacatua pastinator,MV,York,Western Australia,Australia,2,f,,
cacatua pastinator,MV,Dongara,Western Australia,Australia,3,f,,
cacatua pastinator,WAM,Lake Muir,Western Australia,Australia,1,m,pastinator,
cacatua pastinator,WAM,Mordalup,Western Australia,Australia,2,m,pastinator,
cacatua pastinator,WAM,Lake Muir,Western Australia,Australia,4,f,pastinator,
cacatua pastinator,WAM,Mordalup,Western Australia,Australia,2,f,pastinator,
