species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Callocephalon fimbriatum,MV,Lithgow,New South Wales,Australia,2,m,,
Callocephalon fimbriatum,MV,Mount Wilson,New South Wales,Australia,1,m,,
Callocephalon fimbriatum,MV,Beechworth,Victoria,Australia,6,m,,
Callocephalon fimbriatum,MV,Selby,Victoria,Australia,4,m,,
Callocephalon fimbriatum,MV,Loch,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Lithgow,New South Wales,Australia,1,f,,
Callocephalon fimbriatum,MV,Mount Irvine,New South Wales,Australia,1,f,,
Callocephalon fimbriatum,MV,Beechworth,Victoria,Australia,2,f,,
Callocephalon fimbriatum,MV,Selby,Victoria,Australia,2,f,,
Callocephalon fimbriatum,MV,Loch,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Lang Lang,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Genoa,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Gelantipy,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Alexandra,Victoria,Australia,2,m,,
Callocephalon fimbriatum,MV,Marysville,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Lysterfield Lake,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Lilydale,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Berwick,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Bancroft Bay,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Coldstream,Victoria,Australia,1,m,,Coldstream Maroondah
Callocephalon fimbriatum,MV,Black Forest,New South Wales,Australia,1,m,,
Callocephalon fimbriatum,MV,Western Port,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Eskdale,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Tidal River,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Healesville,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Broadford,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Woodend,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Harkaway,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Heytesbury,Victoria,Australia,1,m,,
Callocephalon fimbriatum,MV,Otway Ranges,Victoria,Australia,2,m,,
Callocephalon fimbriatum,MV,Wangaratta,Victoria,Australia,4,f,,
Callocephalon fimbriatum,MV,Beechworth,Victoria,Australia,2,f,,
Callocephalon fimbriatum,MV,Snowy River,,Australia,1,f,,
Callocephalon fimbriatum,MV,Gelantipy,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Genoa,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Traralgon,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Thorpdale,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Garfield,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Kialla West,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Marlo,Victoria,Australia,2,f,,
Callocephalon fimbriatum,MV,Alexandra,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Black Forest,New South Wales,Australia,1,f,,
Callocephalon fimbriatum,MV,Western Port,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Marysville,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Ringwood,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Eskdale,Victoria,Australia,1,f,,
Callocephalon fimbriatum,MV,Heytesbury,Victoria,Australia,2,f,,
