species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Cacatua sanguinea,ANWC,12km SW Hillston,New South Wales,Australia,2,f,,
Cacatua sanguinea,ANWC,29km NE Hillston,New South Wales,Australia,1,f,,
Cacatua sanguinea,ANWC,39km W Condobolin,New South Wales,Australia,1,f,,
Cacatua sanguinea,ANWC,"21km N Miliner Station, Hamersley Ranges ",Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,Kowanyama,Queensland,Australia,2,m,,
Cacatua sanguinea,ANWC,Noonbah,Queensland,Australia,1,m,,
Cacatua sanguinea,ANWC,Canberra,Australian Capital Territory,Australia,1,m,,JUV! soft bill
Cacatua sanguinea,ANWC,"29km NE Hillston, Lachlan River",New South Wales,Australia,2,m,,
Cacatua sanguinea,SA White Collection,Central Australia,Northern Territory,Australia,1,m,,
Cacatua sanguinea,SA White Collection,Moolooloo,South Australia,Australia,1,m,,
Cacatua sanguinea,SA White Collection,Moolooloo,South Australia,Australia,1,f,,
Cacatua sanguinea,SA White Collection,Mt Lyndhurst,South Australia,Australia,1,f,,
Cacatua sanguinea,SA White Collection,Innamincka,South Australia,Australia,1,m,,prob male
Cacatua sanguinea,ANWC,"Point Sampson, Roebourne",Western Australia,Australia,1,m,westralensis ,
Cacatua sanguinea,ANWC,Cape Range NP,Western Australia,Australia,3,f,westralensis ,
Cacatua sanguinea,ANWC,"27km NE Toolunga Creek, Onslow",Western Australia,Australia,1,f,westralensis ,
Cacatua sanguinea,ANWC,"21km N Mininer Station, Hamersley Ranges ",Western Australia,Australia,1,f,westralensis ,
Cacatua sanguinea,ANWC,54km NW Paraburdoo,Western Australia,Australia,1,f,westralensis ,
Cacatua sanguinea,ANWC,40km SW Mt Tom Price,Western Australia,Australia,1,f,westralensis ,
Cacatua sanguinea,ANWC,"Warramboo Creek, 312 SW Karratha",Western Australia,Australia,1,f,westralensis ,
Cacatua sanguinea,QM,Kununurra,Western Australia,Australia,3,m,,adults
Cacatua sanguinea,QM,Kununurra,Western Australia,Australia,1,f,,adults
Cacatua sanguinea,QM,Mungeranie,South Australia,Australia,1,m,,
Cacatua sanguinea,QM,Birdsville,Queensland,Australia,1,m,,
Cacatua sanguinea,QM,Old Doomadgee,Queensland,Australia,1,m,,out of geog sync
Cacatua sanguinea,QM,"Georgina Range, Lake Nash",Northern Territory,Australia,1,m,,
Cacatua sanguinea,QM,32km NE Lake Nash,Northern Territory,Australia,4,m,,
Cacatua sanguinea,QM,37km SW Mt Isa,Queensland,Australia,5,m,,
Cacatua sanguinea,QM,"Leichardt River, Coolulah, 100km N Cloncurry",Queensland,Australia,2,m,,
Cacatua sanguinea,QM,"Leichardt Falls, Floraville",Queensland,Australia,3,m,,
Cacatua sanguinea,QM,Wernadinga,Queensland,Australia,1,m,,
Cacatua sanguinea,QM,Birdsville,Queensland,Australia,1,f,,
Cacatua sanguinea,QM,32km NE Lake Nash,Northern Territory,Australia,3,f,,
Cacatua sanguinea,QM,37km SW Mt Isa,Queensland,Australia,3,f,,
Cacatua sanguinea,QM,"Leichardt River, Coolulah",Queensland,Australia,2,f,,
Cacatua sanguinea,QM,"Bullocky Lagoon, 5km S Myra Vale",Queensland,Australia,11,f,,8th record: imm
Cacatua sanguinea,QM,"Bullocky Lagoon, 5km S Myra Vale",Queensland,Australia,5,m,,
Cacatua sanguinea,QM,"Flinders River Crossing, Milgarra",Queensland,Australia,5,m,,
Cacatua sanguinea,QM,Noonbah,Queensland,Australia,1,m,,
Cacatua sanguinea,QM,"Currane, Dartmouth",Queensland,Australia,1,m,,
Cacatua sanguinea,QM,"Currane, Dartmouth",Queensland,Australia,2,f,,
