"","species_name","museum_name","location","state","country","sex","subspecies","X","place","lat","lon"
"110","cacatua pastinator","ANWC","Dongara","Western Australia","Australia","f","derbyi","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"111","cacatua pastinator","ANWC","Dongara","Western Australia","Australia","f","derbyi","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"112","cacatua pastinator","ANWC","Dongara","Western Australia","Australia","f","derbyi","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"113","cacatua pastinator","ANWC","Dongara","Western Australia","Australia","f","derbyi","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"114","cacatua pastinator","ANWC","Gutha","Western Australia","Australia","f","derbyi","","Gutha, Western Australia, Australia",-28.9799655,116.0613994
"115","cacatua pastinator","ANWC","Gutha","Western Australia","Australia","f","derbyi","","Gutha, Western Australia, Australia",-28.9799655,116.0613994
"116","cacatua pastinator","ANWC","Cockleshell Gully","Western Australia","Australia","f","derbyi","","Cockleshell Gully, Western Australia, Australia",-29.9826689,115.1155668
"117","cacatua pastinator","ANWC","","","","m","derbyi","recorded as 'locality C3'",", , ",NA,NA
"118","cacatua pastinator","MV","Lake Muir","Western Australia","Australia","m","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"119","cacatua pastinator","MV","Lake Muir","Western Australia","Australia","m","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"120","cacatua pastinator","MV","York","Western Australia","Australia","m","","","York, Western Australia, Australia",-31.8889034,116.7691483
"121","cacatua pastinator","MV","York","Western Australia","Australia","m","","","York, Western Australia, Australia",-31.8889034,116.7691483
"122","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"123","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"124","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"125","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"126","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"127","cacatua pastinator","MV","Dongara","Western Australia","Australia","m","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"128","cacatua pastinator","MV","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"129","cacatua pastinator","MV","York","Western Australia","Australia","f","","","York, Western Australia, Australia",-31.8889034,116.7691483
"130","cacatua pastinator","MV","York","Western Australia","Australia","f","","","York, Western Australia, Australia",-31.8889034,116.7691483
"131","cacatua pastinator","MV","Dongara","Western Australia","Australia","f","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"132","cacatua pastinator","MV","Dongara","Western Australia","Australia","f","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"133","cacatua pastinator","MV","Dongara","Western Australia","Australia","f","","","Dongara, Western Australia, Australia",-29.2508122,114.9314022
"134","cacatua pastinator","WAM","Lake Muir","Western Australia","Australia","m","pastinator","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"135","cacatua pastinator","WAM","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"136","cacatua pastinator","WAM","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"137","cacatua pastinator","WAM","Lake Muir","Western Australia","Australia","f","pastinator","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"138","cacatua pastinator","WAM","Lake Muir","Western Australia","Australia","f","pastinator","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"139","cacatua pastinator","WAM","Lake Muir","Western Australia","Australia","f","pastinator","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"140","cacatua pastinator","WAM","Lake Muir","Western Australia","Australia","f","pastinator","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"141","cacatua pastinator","WAM","Mordalup","Western Australia","Australia","f","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"142","cacatua pastinator","WAM","Mordalup","Western Australia","Australia","f","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
