"","species_name","museum_name","location","state","country","sex","subspecies","notes","place","lat","lon"
"1","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"2","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"3","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"4","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"5","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"6","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"7","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"8","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"9","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","m","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"10","Cacatua sanguinea","ANWC","23km NE Morawa","Western Australia","Australia","m","","1st record: hybrid?","23km NE Morawa, Western Australia, Australia",-28.8261232927928,116.263716961565
"11","Cacatua sanguinea","ANWC","23km NE Morawa","Western Australia","Australia","m","","1st record: hybrid?","23km NE Morawa, Western Australia, Australia",-28.8261232927928,116.263716961565
"12","Cacatua sanguinea","ANWC","23km NE Morawa","Western Australia","Australia","m","","1st record: hybrid?","23km NE Morawa, Western Australia, Australia",-28.8261232927928,116.263716961565
"13","Cacatua sanguinea","ANWC","20km NE Mingenew","Western Australia","Australia","m","","","20km NE Mingenew, Western Australia, Australia",-28.9632568198198,115.675349262662
"14","Cacatua sanguinea","ANWC","30km NE Mingenew","Western Australia","Australia","m","","","30km NE Mingenew, Western Australia, Australia",-28.8731667297297,115.778497593992
"15","Cacatua sanguinea","ANWC","Gutha Siding","Western Australia","Australia","m","","hybrid?","Gutha Siding, Western Australia, Australia",NA,NA
"16","Cacatua sanguinea","ANWC","Wiluna","Western Australia","Australia","m","","","Wiluna, Western Australia, Australia",-25.3746745,122.3768564
"17","Cacatua sanguinea","ANWC","Wiluna","Western Australia","Australia","m","","","Wiluna, Western Australia, Australia",-25.3746745,122.3768564
"18","Cacatua sanguinea","ANWC","Mt Augustus Station Carnarvon","Western Australia","Australia","m","","subad","Mt Augustus Station Carnarvon, Western Australia, Australia",NA,NA
"19","Cacatua sanguinea","ANWC","Innouendy Station Carnarvon","Western Australia","Australia","m","","","Innouendy Station Carnarvon, Western Australia, Australia",NA,NA
"20","Cacatua sanguinea","ANWC","Innouendy Station Carnarvon","Western Australia","Australia","m","","","Innouendy Station Carnarvon, Western Australia, Australia",NA,NA
"21","Cacatua sanguinea","ANWC","40km SW Tom Price","Western Australia","Australia","m","","","40km SW Tom Price, Western Australia, Australia",-23.0496575603604,117.406901905045
"22","Cacatua sanguinea","ANWC","Yarraloola Station, Robe River","Western Australia","Australia","m","","","Yarraloola Station, Robe River, Western Australia, Australia",NA,NA
"23","Cacatua sanguinea","ANWC","Point Sampson","Western Australia","Australia","m","","subad","Point Sampson, Western Australia, Australia",NA,NA
"24","Cacatua sanguinea","ANWC","Point Sampson","Western Australia","Australia","m","","subad","Point Sampson, Western Australia, Australia",NA,NA
"25","Cacatua sanguinea","ANWC","130km S Port Hedland","Western Australia","Australia","m","","sub","130km S Port Hedland, Western Australia, Australia",-21.4823525711712,118.5801181
"26","Cacatua sanguinea","ANWC","Lagrange","Western Australia","Australia","m","","","Lagrange, Western Australia, Australia",-18.691654,121.9813277
"27","Cacatua sanguinea","ANWC","Napier Downs, Derby","Western Australia","Australia","m","","","Napier Downs, Derby, Western Australia, Australia",-17.3297814,124.8153433
"28","Cacatua sanguinea","ANWC","Napier Downs, Derby","Western Australia","Australia","m","","","Napier Downs, Derby, Western Australia, Australia",-17.3297814,124.8153433
"29","Cacatua sanguinea","ANWC","Napier Downs, Derby","Western Australia","Australia","m","","","Napier Downs, Derby, Western Australia, Australia",-17.3297814,124.8153433
"30","Cacatua sanguinea","ANWC","Coorow","Western Australia","Australia","f","","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"31","Cacatua sanguinea","ANWC","Winchester Siding","Western Australia","Australia","f","","","Winchester Siding, Western Australia, Australia",NA,NA
"32","Cacatua sanguinea","ANWC","Winchester Siding","Western Australia","Australia","f","","","Winchester Siding, Western Australia, Australia",NA,NA
"33","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"34","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"35","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"36","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"37","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"38","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"39","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"40","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"41","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"42","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia","f","","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
