"","species_name","museum_name","location","state","country","sex","subspecies","notes","extra_notes","place","lat","lon"
"40","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"41","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"42","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"43","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"44","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"45","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"46","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"47","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"48","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"49","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"50","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"51","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"52","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"53","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"54","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"55","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"56","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"57","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"58","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"59","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"60","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"61","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"62","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"63","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"64","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","m","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"65","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","f","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"66","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","f","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"67","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","f","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"68","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","f","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"69","Trichoglossus haematodus","ANWC","Bernhard Camp to Sepik and Wahgi Valley","","Papua New Guinea","f","intermedius","","","Bernhard Camp to Sepik and Wahgi Valley, , Papua New Guinea",NA,NA
"70","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"71","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"72","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"73","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"74","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"75","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"76","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"77","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"78","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"79","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"80","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"81","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"82","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"83","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"84","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"85","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"86","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"87","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"88","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"89","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"90","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"91","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"92","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"93","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"94","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"95","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"96","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"97","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"98","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"99","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"100","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"101","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"102","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"103","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"104","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"105","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"106","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"107","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"108","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"109","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"110","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"111","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"112","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"113","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"114","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"115","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"116","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"117","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"118","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"119","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"120","Trichoglossus haematodus","","","Maluku Islands","Indonesia","m","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"121","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"122","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"123","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"124","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"125","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"126","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"127","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"128","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"129","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"130","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"131","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"132","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"133","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"134","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"135","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"136","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"137","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"138","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"139","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"140","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"141","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"142","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"143","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"144","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"145","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"146","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"147","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"148","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"149","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"150","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"151","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"152","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"153","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"154","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"155","Trichoglossus haematodus","","","Maluku Islands","Indonesia","f","","New Guinea and Moluccas","",", Maluku Islands, Indonesia",-3.4591432,126.6562293
"156","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"157","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"158","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"159","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"160","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"161","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"162","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"163","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"164","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"165","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
"166","Trichoglossus haematodus","QM","Roper River","Northern Territory","Australia","m","rubritorquis","Ngukurr?","","Roper River, Northern Territory, Australia",-14.6873399,134.3765274
