"","species_name","museum_name","location","state","country","sex","subspecies","notes","extra_notes","place","lat","lon"
"1","Trichoglossus haematodus","AM","","","New Guinea","","flavicans","30608","",", , New Guinea",-5.522593,142.0870905
"2","Trichoglossus haematodus","AM","San Cristobal","","Solomon Islands","m","mascana x micropsteryx?","mascana/micropsteryx?","","San Cristobal, , Solomon Islands",-10.5198738,161.8230401
"3","Trichoglossus haematodus","AM","","","New Guinea","","forsteni","12993","",", , New Guinea",-5.522593,142.0870905
"4","Trichoglossus haematodus","AM","","","","","mitchelli","0.35214","",", , ",NA,NA
"5","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"6","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"7","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"8","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"9","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"10","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"11","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"12","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","m","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"13","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","f","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"14","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","f","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"15","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","f","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"16","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","f","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"17","Trichoglossus haematodus","ANWC","Bougainville","","Papua New Guinea","f","massena","","","Bougainville, , Papua New Guinea",-5.994921,154.9966955
"18","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"19","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"20","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"21","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"22","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"23","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"24","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"25","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"26","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"27","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"28","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","m","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"29","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"30","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"31","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"32","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"33","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"34","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"35","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"36","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"37","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"38","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
"39","Trichoglossus haematodus","ANWC","Lake Kutubu and Herzog Mountains","","Papua New Guinea","f","massena","SENG - southeast New Guinea? ","","Lake Kutubu and Herzog Mountains, , Papua New Guinea",NA,NA
