"Supplied Name","guid","scientificName","family","kingdom","reportedTaxon","recordID","species","order","family","habitat","class","countryCode_alpha3","isHybrid","country","countryCode_alpha2","phylum","kingdom","isInvasive","establishmentMeans","taxonRank","occurrenceStatus"
"Chrysopogon zizanioides (L.) Roberty","https://id.biodiversity.org.au/node/apni/2894351","Chrysopogon zizanioides","Poaceae",,"Chrysopogon zizanioides (L.) Roberty","24120","Chrysopogon zizanioides","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Coix aquatica Roxb.","https://id.biodiversity.org.au/name/apni/207576","Coix aquatica","Poaceae",,"Coix aquatica Roxb.","25814","Coix aquatica","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Coix lacryma-jobi L.","https://id.biodiversity.org.au/node/apni/2915932","Coix lacryma-jobi","Poaceae",,"Coix lacryma-jobi L.","25816","Coix lacryma-jobi","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cortaderia jubata (Lemoine ex Carrière) Stapf","https://id.biodiversity.org.au/node/apni/2904898","Cortaderia jubata","Poaceae",,"Cortaderia jubata (Lemoine ex Carrière) Stapf","27459","Cortaderia jubata","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cortaderia selloana Asch. & Graebn.","https://id.biodiversity.org.au/node/apni/2915629","Cortaderia selloana","Poaceae",,"Cortaderia selloana Asch. & Graebn.","27468","Cortaderia selloana","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cymbopogon citratus Stapf","https://id.biodiversity.org.au/node/apni/2888034","Cymbopogon citratus","Poaceae",,"Cymbopogon citratus Stapf","30815","Cymbopogon citratus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon aethiopicus Clayton & Harlan","https://id.biodiversity.org.au/node/apni/2898194","Cynodon aethiopicus","Poaceae",,"Cynodon aethiopicus Clayton & Harlan","30899","Cynodon aethiopicus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon aethiopicus x nlemfuensis",,,,,"Cynodon aethiopicus x nlemfuensis","30905","Cynodon aethiopicus x nlemfuensis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","TRUE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon dactylon (L.) Pers.","https://id.biodiversity.org.au/node/apni/2915319","Cynodon dactylon","Poaceae",,"Cynodon dactylon (L.) Pers.","30910","Cynodon dactylon","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon incompletus Nees","https://id.biodiversity.org.au/node/apni/2898671","Cynodon incompletus","Poaceae",,"Cynodon incompletus Nees","30999","Cynodon incompletus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon nlemfuensis Vanderyst","https://id.biodiversity.org.au/node/apni/2891708","Cynodon nlemfuensis","Poaceae",,"Cynodon nlemfuensis Vanderyst","31001","Cynodon nlemfuensis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon radiatus Roth","https://id.biodiversity.org.au/node/apni/2899356","Cynodon radiatus","Poaceae",,"Cynodon radiatus Roth","31029","Cynodon radiatus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynodon transvaalensis Burtt Daty","https://id.biodiversity.org.au/node/apni/2886171","Cynodon transvaalensis","Poaceae",,"Cynodon transvaalensis Burtt Daty","31030","Cynodon transvaalensis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynosurus cristatus L.","https://id.biodiversity.org.au/node/apni/2899708","Cynosurus cristatus","Poaceae",,"Cynosurus cristatus L.","31096","Cynosurus cristatus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cynosurus echinatus L.","https://id.biodiversity.org.au/node/apni/2912620","Cynosurus echinatus","Poaceae",,"Cynosurus echinatus L.","31104","Cynosurus echinatus","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Cyrtococcum deltoideum (Hack.) A.Camus","https://id.biodiversity.org.au/instance/apni/766792","Cyrtococcum deltoideum","Poaceae",,"Cyrtococcum deltoideum (Hack.) A.Camus","31784","Cyrtococcum deltoideum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dactylis glomerata L.","https://id.biodiversity.org.au/node/apni/2915272","Dactylis glomerata","Poaceae",,"Dactylis glomerata L.","31929","Dactylis glomerata","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dactyloctenium australe Steud.","https://id.biodiversity.org.au/node/apni/2894781","Dactyloctenium australe","Poaceae",,"Dactyloctenium australe Steud.","32012","Dactyloctenium australe","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dactyloctenium giganteum B.S.Fisher & Schweick.","https://id.biodiversity.org.au/node/apni/2905737","Dactyloctenium giganteum","Poaceae",,"Dactyloctenium giganteum B.S.Fisher & Schweick.","32016","Dactyloctenium giganteum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Danthonia decumbens DC.","https://id.biodiversity.org.au/node/apni/2912973","Danthonia decumbens","Poaceae",,"Danthonia decumbens DC.","32192","Danthonia decumbens","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dichanthium annulatum Stapf","https://id.biodiversity.org.au/node/apni/2905880","Dichanthium annulatum","Poaceae",,"Dichanthium annulatum Stapf","33567","Dichanthium annulatum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dichanthium aristatum (Poir.) C.E.Hubb.","https://id.biodiversity.org.au/node/apni/2916620","Dichanthium aristatum","Poaceae",,"Dichanthium aristatum (Poir.) C.E.Hubb.","33584","Dichanthium aristatum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dichanthium caricosum (L.) A.Camus","https://id.biodiversity.org.au/node/apni/2912346","Dichanthium caricosum","Poaceae",,"Dichanthium caricosum (L.) A.Camus","33596","Dichanthium caricosum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria aequiglumis (Hack. & Arechav.) Parodi","https://id.biodiversity.org.au/node/apni/2887457","Digitaria aequiglumis","Poaceae",,"Digitaria aequiglumis (Hack. & Arechav.) Parodi","33895","Digitaria aequiglumis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria ciliaris (Retz.) Koeler","https://id.biodiversity.org.au/taxon/apni/51291262","Digitaria ciliaris","Poaceae",,"Digitaria ciliaris (Retz.) Koeler","33918","Digitaria ciliaris","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria didactyla Willd.","https://id.biodiversity.org.au/node/apni/2901759","Digitaria didactyla","Poaceae",,"Digitaria didactyla Willd.","33974","Digitaria didactyla","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria eriantha Steud.","https://id.biodiversity.org.au/node/apni/2899120","Digitaria eriantha","Poaceae",,"Digitaria eriantha Steud.","33979","Digitaria eriantha","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria ischaemum (Schreb.) Muhl.","https://id.biodiversity.org.au/node/apni/2887746","Digitaria ischaemum","Poaceae",,"Digitaria ischaemum (Schreb.) Muhl.","34034","Digitaria ischaemum","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria milanjiana (Rendle) Stapf","https://id.biodiversity.org.au/node/apni/2897144","Digitaria milanjiana","Poaceae",,"Digitaria milanjiana (Rendle) Stapf","34064","Digitaria milanjiana","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria sanguinalis (L.) Scop.","https://id.biodiversity.org.au/node/apni/2891153","Digitaria sanguinalis","Poaceae",,"Digitaria sanguinalis (L.) Scop.","34089","Digitaria sanguinalis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria ternata Stapf","https://id.biodiversity.org.au/node/apni/2914394","Digitaria ternata","Poaceae",,"Digitaria ternata Stapf","34152","Digitaria ternata","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Digitaria violascens Link","https://id.biodiversity.org.au/taxon/apni/51303892","Digitaria violascens","Poaceae",,"Digitaria violascens Link","34159","Digitaria violascens","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Dinebra retroflexa Panz.","https://id.biodiversity.org.au/node/apni/2903315","Dinebra retroflexa","Poaceae",,"Dinebra retroflexa Panz.","34264","Dinebra retroflexa","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Disakisperma dubium (Kunth) P.M.Peterson & N.Snow","https://id.biodiversity.org.au/node/apni/7766247","Disakisperma dubium","Poaceae",,"Leptochloa dubia (Kunth) Nees","54496","Disakisperma dubium","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Distichlis spicata (L.) Greene","https://id.biodiversity.org.au/node/apni/2919078","Distichlis distichophylla","Poaceae",,"Distichlis spicata (L.) Greene","34708","Distichlis spicata","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa crus-galli (L.) P.Beauv.","https://id.biodiversity.org.au/node/apni/2886672","Echinochloa crus-galli","Poaceae",,"Echinochloa crus-galli (L.) P.Beauv.","35639","Echinochloa crus-galli","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa crus-pavonis Schult.","https://id.biodiversity.org.au/taxon/apni/51291310","Echinochloa crus-pavonis","Poaceae",,"Echinochloa crus-pavonis Schult.","35717","Echinochloa crus-pavonis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa esculenta (A.Braun) H.Scholz","https://id.biodiversity.org.au/node/apni/2910800","Echinochloa esculenta","Poaceae",,"Echinochloa esculenta (A.Braun) H.Scholz","35723","Echinochloa esculenta","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa frumentacea Link","https://id.biodiversity.org.au/node/apni/2886240","Echinochloa frumentacea","Poaceae",,"Echinochloa frumentacea Link","35731","Echinochloa frumentacea","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa muricata (P.Beauv.) Fernald","https://id.biodiversity.org.au/instance/apni/769110","Echinochloa muricata","Poaceae",,"Echinochloa muricata (P.Beauv.) Fernald","35754","Echinochloa muricata","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa oryzoides (Ard.) Fritsch","https://id.biodiversity.org.au/node/apni/2908058","Echinochloa oryzoides","Poaceae",,"Echinochloa oryzoides (Ard.) Fritsch","35770","Echinochloa oryzoides","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa polystachya Hitchc.","https://id.biodiversity.org.au/node/apni/2903283","Echinochloa polystachya","Poaceae",,"Echinochloa polystachya Hitchc.","35790","Echinochloa polystachya","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa pyramidalis Hitchc. & Chase","https://id.biodiversity.org.au/node/apni/2903937","Echinochloa pyramidalis","Poaceae",,"Echinochloa pyramidalis Hitchc. & Chase","35799","Echinochloa pyramidalis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Echinochloa stagnina P.Beauv.",,,,,"Echinochloa stagnina P.Beauv.","35808","Echinochloa stagnina","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta brevifolia Schrad.","https://id.biodiversity.org.au/node/apni/2906711","Ehrharta brevifolia","Poaceae",,"Ehrharta brevifolia Schrad.","36153","Ehrharta brevifolia","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta calycina Sm.","https://id.biodiversity.org.au/node/apni/2921246","Ehrharta calycina","Poaceae",,"Ehrharta calycina Sm.","36154","Ehrharta calycina","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta erecta Lam.","https://id.biodiversity.org.au/node/apni/2911051","Ehrharta erecta","Poaceae",,"Ehrharta erecta Lam.","36158","Ehrharta erecta","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta longiflora Sm.","https://id.biodiversity.org.au/node/apni/2899357","Ehrharta longiflora","Poaceae",,"Ehrharta longiflora Sm.","36170","Ehrharta longiflora","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta pusilla Nees","https://id.biodiversity.org.au/node/apni/2901045","Ehrharta pusilla","Poaceae",,"Ehrharta pusilla Nees","36174","Ehrharta pusilla","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Ehrharta villosa (L.f.) Schult.f.","https://id.biodiversity.org.au/node/apni/2910388","Ehrharta villosa","Poaceae",,"Ehrharta villosa (L.f.) Schult.f.","36178","Ehrharta villosa","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eleusine coracana Gaertn.","https://id.biodiversity.org.au/node/apni/2902000","Eleusine coracan","Poaceae",,"Eleusine coracana Gaertn.","36621","Eleusine coracana","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eleusine indica (L.) Gaertn.","https://id.biodiversity.org.au/node/apni/2904956","Eleusine indica","Poaceae",,"Eleusine indica (L.) Gaertn.","36636","Eleusine indica","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eleusine tristachya (Lam.) Lam.","https://id.biodiversity.org.au/node/apni/2897406","Eleusine tristachya","Poaceae",,"Eleusine tristachya (Lam.) Lam.","36736","Eleusine tristachya","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis amabilis (L.) Wight & Arn.","https://id.biodiversity.org.au/node/apni/2894342","Eragrostis amabilis","Poaceae",,"Eragrostis amabilis (L.) Wight & Arn.","37691","Eragrostis amabilis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis atrovirens (Desf.) Trin. ex Steud.","https://id.biodiversity.org.au/node/apni/2891600","Eragrostis atrovirens","Poaceae",,"Eragrostis atrovirens (Desf.) Trin. ex Steud.","37725","Eragrostis atrovirens","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis bahiensis Roem. & Schult.","https://id.biodiversity.org.au/node/apni/2891863","Eragrostis bahiensis","Poaceae",,"Eragrostis bahiensis Roem. & Schult.","37734","Eragrostis bahiensis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis barrelieri Daveau","https://id.biodiversity.org.au/node/apni/2899761","Eragrostis barrelieri","Poaceae",,"Eragrostis barrelieri Daveau","37739","Eragrostis barrelieri","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis cilianensis (All.) Vignolo ex Janch.","https://id.biodiversity.org.au/node/apni/2906406","Eragrostis cilianensis","Poaceae",,"Eragrostis cilianensis (All.) Vignolo ex Janch.","37762","Eragrostis cilianensis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis curvula Nees","https://id.biodiversity.org.au/node/apni/2889922","Eragrostis curvula","Poaceae",,"Eragrostis curvula Nees","37808","Eragrostis curvula","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis cylindriflora Hochst.","https://id.biodiversity.org.au/node/apni/2889029","Eragrostis trichophora","Poaceae",,"Eragrostis cylindriflora Hochst.","37826","Eragrostis cylindriflora","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis mexicana Link","https://id.biodiversity.org.au/node/apni/2916680","Eragrostis mexicana","Poaceae",,"Eragrostis mexicana Link","37879","Eragrostis mexicana","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis minor Host","https://id.biodiversity.org.au/node/apni/7767601","Eragrostis minor","Poaceae",,"Eragrostis minor Host","37884","Eragrostis minor","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis paniciformis (A.Braun) Steud.","https://id.biodiversity.org.au/node/apni/2892161","Eragrostis paniciformis","Poaceae",,"Eragrostis paniciformis (A.Braun) Steud.","37927","Eragrostis paniciformis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis patula Steud.",,,,,"Eragrostis patula Steud.","37934","Eragrostis patula","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis pilosa P.Beauv.","https://id.biodiversity.org.au/node/apni/2891008","Eragrostis pilosa","Poaceae",,"Eragrostis pilosa P.Beauv.","37956","Eragrostis pilosa","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis subsecunda (Lam.) E.Fourn.","https://id.biodiversity.org.au/node/apni/2899972","Eragrostis subsecunda","Poaceae",,"Eragrostis subsecunda (Lam.) E.Fourn.","38006","Eragrostis subsecunda","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis superba Peyr.","https://id.biodiversity.org.au/node/apni/2909837","Eragrostis superba","Poaceae",,"Eragrostis superba Peyr.","38007","Eragrostis superba","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eragrostis tef Trotter","https://id.biodiversity.org.au/node/apni/2902877","Eragrostis tef","Poaceae",,"Eragrostis tef Trotter","38017","Eragrostis tef","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eriochloa meyeriana (Nees) Pilg.","https://id.biodiversity.org.au/node/apni/2911997","Eriochloa meyeriana","Poaceae",,"Eriochloa meyeriana (Nees) Pilg.","38640","Eriochloa meyeriana","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eriochloa polystachya Kunth","https://id.biodiversity.org.au/node/apni/2891895","Eriochloa pseudoacrotricha","Poaceae",,"Eriochloa polystachya Kunth","38643","Eriochloa polystachya","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Eustachys distichophylla Nees","https://id.biodiversity.org.au/node/apni/2892585","Eustachys distichophylla","Poaceae",,"Eustachys distichophylla Nees","41001","Eustachys distichophylla","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Festuca gautieri (Hack.) K.Richt.","https://id.biodiversity.org.au/name/apni/208453","Festuca gautieri","Poaceae",,"Festuca gautieri (Hack.) K.Richt.","41580","Festuca gautieri","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Festuca nigrescens Lam.","https://id.biodiversity.org.au/node/apni/2889240","Festuca nigrescens","Poaceae",,"Festuca nigrescens Lam.","41598","Festuca nigrescens","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Festuca ovina L.","https://id.biodiversity.org.au/node/apni/2912103","Festuca plebeia","Poaceae",,"Festuca pratensis Honck.","41607","Festuca ovina","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Festuca rubra L.","https://id.biodiversity.org.au/node/apni/2918823","Festuca rubra","Poaceae",,"Festuca rubra L.","41611","Festuca rubra","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Gastridium phleoides (Nees & Meyen) C.E.Hubb.","https://id.biodiversity.org.au/node/apni/2897537","Gastridium phleoides","Poaceae",,"Gastridium phleoides (Nees & Meyen) C.E.Hubb.","43505","Gastridium phleoides","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Gaudinia fragilis (L.) P.Beauv.","https://id.biodiversity.org.au/node/apni/2920791","Gaudinia fragilis","Poaceae",,"Gaudinia fragilis (L.) P.Beauv.","43529","Gaudinia fragilis","Poales","Poaceae","TERRESTRIAL","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Glyceria declinata Breb.","https://id.biodiversity.org.au/node/apni/2900236","Glyceria declinata","Poaceae",,"Glyceria declinata Breb.","44438","Glyceria declinata","Poales","Poaceae","TERRESTRIAL|FRESHWATER","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Glyceria fluitans R.Br.","https://id.biodiversity.org.au/node/apni/2899170","Glyceria fluitans","Poaceae",,"Glyceria fluitans R.Br.","44443","Glyceria fluitans","Poales","Poaceae","TERRESTRIAL|FRESHWATER","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Glyceria maxima Holmb.","https://id.biodiversity.org.au/node/apni/2903303","Glyceria maxima","Poaceae",,"Glyceria maxima Holmb.","44452","Glyceria maxima","Poales","Poaceae","TERRESTRIAL|FRESHWATER","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
"Glyceria notata Chevall.","https://id.biodiversity.org.au/node/apni/2896962","Glyceria notata","Poaceae",,"Glyceria notata Chevall.","44460","Glyceria notata","Poales","Poaceae","TERRESTRIAL|FRESHWATER","Liliopsida","AUS","FALSE","Australia","AU","Tracheophyta","Plantae","NULL","ALIEN","SPECIES","PRESENT"
