"taxonConceptID","count","electorate","electorate_sum","prop_by_electorate","z_score_proportions","z_score_counts","z_squared","rank","phylum","class","order","family","species","vernacular_name","state"
"urn:lsid:biodiversity.org.au:afd.taxon:31ee79a4-1139-4c4e-b9e8-fcd21ac69d5b",666,"Fremantle",41167,0.0161780066558166,3.45920944633207,1.37142646267053,4.74405137461968,"species","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax varius","Pied Cormorant","WA"
"urn:lsid:biodiversity.org.au:afd.taxon:2ba93200-2c16-431b-bf4d-d42a31325afb",619,"Gellibrand",44305,0.0139713350637626,3.75334410849365,1.33086315664452,4.99518738820298,"species","Chordata","Aves","Podicipediformes","Podicipedidae","Poliocephalus poliocephalus","Hoary-headed Grebe","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:284a0855-14f4-4da8-9fdc-b53009b65796",725,"Gilmore",202492,0.00358038836102167,5.13034632875631,2.87814600096205,14.7658857696603,"species","Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus breviceps","Sugar Glider","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:3b3e2bbf-b2fc-4e41-a99b-99278403a162",118,"Gippsland",152769,0.000772408014715027,5.34357344269885,3.77874350952533,20.1919934642702,"species","Arthropoda","Insecta","Lepidoptera","Anthelidae","Chelepteryx chalepteryx",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:d540f7b0-dd27-4afd-83bc-ec2ad265e755",31,"Goldstein",12906,0.00240198357353169,5.55223504451723,1.53927823674699,8.54643456932934,"species","Arthropoda","Insecta","Mantodea","Mantidae","Pseudomantis albofimbriata",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:51c700dd-d2c3-4fb4-9d1f-2728bf2e302f",75,"Gorton",3068,0.0244458930899609,3.01285728736824,1.50901448227275,4.54644527965968,"species","Chordata","Reptilia","Squamata","Pygopodidae","Delma impar","Many-lined Delma","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:91c90b44-e9dd-4ce1-a4b5-37d60d59b859",170,"Grayndler",5095,0.0333660451422964,4.66721451734993,1.29976183009318,6.06626728250819,"species","Chordata","Aves","Psittaciformes","Psittacidae","Trichoglossus haematodus","Rainbow Lorikeet","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56",37,"Greenway",3337,0.0110878034162421,5.86208013590709,1.01195678672391,5.93217177785062,"species","Chordata","Reptilia","Squamata","Scincidae","Tiliqua scincoides","Eastern Blue-tongue","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:c2056f1b-fcde-45b9-904b-1cab280368d1",316,"Grey",86054,0.00367211285936737,6.4351072019791,3.34131254973621,21.5017044528706,"species","Chordata","Mammalia","Carnivora","Canidae","Canis familiaris","Dingo","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:0ff13474-2ba7-4211-9896-bcd5c76261c1",26,"Griffith",40331,0.000644665393865761,4.38416237537507,1.6170806761591,7.08954425836282,"species","Arthropoda","Insecta","Coleoptera","Coccinellidae","Halmus chalybeus",NA,"QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:b7a453b6-716e-4ba2-9e89-1f4b71abddef",295,"Groom",36735,0.00803048863481693,3.98215836003849,1.53294080230462,6.10441303134143,"species","Chordata","Aves","Psittaciformes","Cacatuidae","Nymphicus hollandicus","Cockatiel","QLD"
