taxonConceptID,count,electorate,electorate_spp,electorate_sum,z_species,z_electorate,z_sum,rank,phylum,class,order,family,species,vernacular_name,state,image_author,image_licence,image_url,image_filename
urn:lsid:biodiversity.org.au:afd.taxon:fa188c0e-68ba-4b3f-8e8f-48734608c7d1,480,Corio,1756,125396,1.898136161,2.741023523,4.639159684,species,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris ferruginea,Curlew Sandpiper,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:0446dbe0-12c9-4a5e-a65b-b0b59c673089,305,Cowan,281,4043,1.562199038,0.244711864,1.806910902,species,Chordata,Amphibia,Anura,Myobatrachidae,Crinia insignifera,Sign-bearing Froglet,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:21464fca-984c-4103-ab72-5f6e9e7d5a2b,52,Cowper,5103,125576,2.543269985,2.371645226,4.914915211,species,Chordata,Aves,Falconiformes,Accipitridae,Pandion cristatus,Eastern Osprey,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:3c1baf33-4255-44cc-bd41-b660b96994ad,965,Cunningham,1734,91356,1.590453523,2.050001201,3.640454724,species,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza nana,Yellow Thornbill,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:89c4827f-8dc7-4578-bb15-9f7e6e1764e6,397,Curtin,1102,53216,1.437576304,2.835512472,4.273088776,species,Chordata,Aves,Caprimulgiformes,Podargidae,Podargus strigoides,Tawny Frogmouth,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:6229886b-b945-4372-af53-08c17455f75b,181,Dawson,2264,38580,0.723337189,2.699335582,3.422672771,species,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon ariel,Fairy Martin,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:7c098cc6-618e-44f7-b921-42170d4c7277,557,Deakin,1717,21698,0.29344783,2.490613687,2.784061518,species,Chordata,Aves,Passeriformes,Corvidae,Corvus mellori,Little Raven,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:fa5feddf-ac78-4032-8b64-855de0baf06b,514,Dickson,3352,172435,1.341527253,3.592854375,4.934381629,species,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea intermedia,Intermediate Egret,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:21205690-54fd-452a-9772-d3e1f8780dff,114,Dobell,1185,41895,1.1689144,2.904946823,4.073861223,species,Chordata,Aves,Apodiformes,Apodidae,Hirundapus caudacutus,White-throated Needletail,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:48bfffd8-f058-49e3-ab1a-f72689d4f8df,66,Dunkley,1722,15974,-0.126625275,2.664881957,2.538256682,species,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax carbo,Great Cormorant,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b7a453b6-716e-4ba2-9e89-1f4b71abddef,632,Durack,3633,199152,1.861656698,3.190270994,5.051927692,species,Chordata,Aves,Psittaciformes,Cacatuidae,Nymphicus hollandicus,Cockatiel,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:5c085a07-f936-40ee-a777-bed9ab89ae06,245,Eden-Monaro,3849,127488,2.595730153,2.914667612,5.510397765,species,Chordata,Aves,Strigiformes,Strigidae,Ninox novaeseelandiae,Southern Boobook,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:da8e2ea0-44a8-46a5-9fa4-c5b286e12417,394,Fadden,786,30601,0.791902686,2.696383965,3.488286651,species,Chordata,Aves,Pelecaniformes,Anhingidae,Anhinga novaehollandiae,Australasian Darter,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:37848309-72eb-4d28-aea3-686a939b19c8,65,Fairfax,3249,65847,0.553639261,3.782791383,4.336430644,species,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis variolosus,Brush Cuckoo,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:44fbaf1a-a7ef-4780-8693-d342ee3aa88e,34,Farrer,1409,119240,1.775910535,3.078657181,4.854567716,species,Chordata,Aves,Struthioniformes,Struthionidae,Struthio camelus,Ostrich,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:51dc6bc2-9165-4fc3-a374-1010ac3037d0,631,Fenner,1321,70820,1.162359649,2.014851028,3.177210676,species,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis swainsonii,Superb Parrot,ACT,,,,
urn:lsid:biodiversity.org.au:afd.taxon:ed51c485-a41a-4e01-9eb9-b14267e25dff,773,Fisher,5316,101494,0.852682937,3.045277634,3.897960571,species,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis frontalis,White-browed Scrubwren,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:bef86559-7ee3-4c5c-bfdb-bf3c4672157e,203,Flinders,2110,42296,0.981244681,3.361887801,4.343132483,species,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus lunatus,White-naped Honeyeater,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:6e0479cb-78dc-409e-a4f4-b53bc659aefa,101,Flynn,2834,54346,1.005360799,2.846244724,3.851605523,species,Chordata,Amphibia,Anura,Hylidae,Litoria caerulea,Green Tree Frog,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f526df7e-2fcf-4096-a594-53eff19f898a,98,Forde,816,36633,0.459198777,2.725110525,3.184309302,species,Chordata,Aves,Passeriformes,Acanthizidae,Gerygone levigaster,Mangrove Gerygone,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:32efa9de-77cd-4bc5-9ac0-562902d03933,39,Forrest,1392,29653,1.485188981,2.726349196,4.211538176,species,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma mollis,Soft-plumaged Petrel,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f2ecb3e3-a6e2-45cc-a986-716a69eec650,31,Fowler,299,1877,0.914770597,-0.524170636,0.39059996,species,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus gouldii,Gould's Wattled Bat,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3,30,Franklin,2427,57116,1.5715855,2.479471892,4.051057391,species,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus viverrinus,Eastern Quoll,TAS,,,,
urn:lsid:biodiversity.org.au:afd.taxon:2ba93200-2c16-431b-bf4d-d42a31325afb,47,Fraser,734,12111,-0.035117583,3.773395496,3.738277913,species,Chordata,Aves,Podicipediformes,Podicipedidae,Poliocephalus poliocephalus,Hoary-headed Grebe,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:6e0e413a-e59c-413b-9d16-3d20b1bab707,40,Fremantle,1309,37002,1.089942545,2.753083604,3.843026149,species,Chordata,Mammalia,Diprotodontia,Macropodidae,Setonix brachyurus,Quokka,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:0444dfa9-d504-4480-8b4a-a5763a046001,983,Gellibrand,624,35018,1.000505092,3.52908446,4.529589552,species,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris novaehollandiae,New Holland Honeyeater,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:284a0855-14f4-4da8-9fdc-b53009b65796,725,Gilmore,3434,173466,2.878146001,1.910112762,4.788258763,species,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus breviceps,Sugar Glider,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:474949ae-5d6c-4d27-bc3b-dcd20db93e18,36,Gippsland,4279,133932,3.929580005,1.915693566,5.845273571,species,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla australis,shortfin eel,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:fc7c3638-388e-4e66-b036-2d0a41e7a784,359,Goldstein,1547,10648,0.098713329,2.347742849,2.446456178,species,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Microcarbo melanoleucos,Little Pied Cormorant,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:51c700dd-d2c3-4fb4-9d1f-2728bf2e302f,75,Gorton,385,2328,1.509014482,1.437557879,2.946572362,species,Chordata,Reptilia,Squamata,Pygopodidae,Delma impar,Many-lined Delma,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:60221177-d785-44e5-9adb-a7914a148e3f,117,Grayndler,654,3991,-0.315524536,1.76663814,1.451113604,species,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus novaehollandiae,Silver Gull,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:91c90b44-e9dd-4ce1-a4b5-37d60d59b859,65,Greenway,500,2586,0.673577827,2.333401877,3.006979703,species,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus haematodus,Rainbow Lorikeet,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f173137b-679e-4320-9576-35c3ec9037d0,17,Grey,2426,68624,1.630042425,2.692960248,4.323002672,species,Chordata,Reptilia,Squamata,Typhlopidae,Anilios bituberculatus,Prong-snouted Blind Snake,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:21686993-4d8f-4ae5-8f81-017c8528c6d5,975,Griffith,1284,33231,1.380567748,2.421660361,3.802228109,species,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:7613c3e0-edf7-4326-98fe-d6c342bcdb88,88,Groom,1267,31100,0.768976948,2.739176746,3.508153694,species,Chordata,Aves,Psittaciformes,Psittacidae,Parvipsitta pusilla,Little Lorikeet,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:9fa3d1ea-02e3-471d-b598-8761cbba9d3c,35,Hasluck,1013,18364,0.600137688,2.856306173,3.456443861,species,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus icterotis,Western Rosella,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:fb2711ca-71a0-478b-b6f3-2b4ded21bdec,242,Hawke,1543,28913,1.39150463,2.339843199,3.731347829,species,Chordata,Aves,Psittaciformes,Psittacidae,Parvipsitta porphyrocephala,Purple-crowned Lorikeet,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:ee3b26c0-1922-4225-ad8e-4d9f896cfc8e,1868,Herbert,1755,101474,1.373658782,2.782523578,4.15618236,species,Chordata,Aves,Passeriformes,Artamidae,Artamus leucorynchus,White-breasted Woodswallow,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:3fa8ae8c-23e1-4fe1-b3c5-312f6fb528ab,151,Higgins,473,10321,-0.336798869,3.215661911,2.878863043,species,Chordata,Aves,Gruiformes,Rallidae,Fulica atra,Eurasian Coot,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b88430ed-f7d7-482e-a586-f0a02d8e11ce,12,Hindmarsh,981,11827,2.236275373,1.846668722,4.082944095,species,Chordata,Aves,Passeriformes,Megaluridae,Megalurus gramineus,Little Grassbird,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:2851357e-d9d1-4cde-a3c2-ec4e1bee60a4,70,Hinkler,1681,56925,0.691513685,2.688881498,3.380395183,species,Chordata,Aves,Falconiformes,Falconidae,Falco longipennis,Australian Hobby,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b6f829dd-0aef-4422-a3f6-77ff691aa9af,170,Holt,1679,21778,0.894746235,2.828365609,3.723111844,species,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia bicolor,Swamp Wallaby,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:88df188e-fbc8-4220-82c1-d2fc03f2f83a,1953,Hotham,1016,16420,0.798454137,2.38801756,3.186471698,species,Chordata,Aves,Passeriformes,Meliphagidae,Manorina melanocephala,Noisy Miner,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:685363d2-4934-4c18-a286-e7ce31c51c46,31,Hughes,1374,36740,0.99706669,3.591091824,4.588158514,species,Chordata,Reptilia,Squamata,Agamidae,Amphibolurus muricatus,Jacky Lizard,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f67d6bc2-c589-4954-a8bc-219f7dac0929,1094,Hume,1780,88393,1.026646994,3.490225355,4.516872349,species,Chordata,Aves,Passeriformes,Campephagidae,Coracina novaehollandiae,Black-faced cuckoo-shrike,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:83225d29-264f-4236-9dda-32f7d60fb3af,727,Hunter,1292,48121,2.663896543,2.625056332,5.288952876,species,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera phrygia,Regent Honeyeater,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:a293c570-af2b-4d37-b807-dfada59260a7,552,Indi,2614,114404,1.189254515,3.020778691,4.210033206,species,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus australis,Australian Reed Warbler,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:18ce1fc8-3045-4136-8a45-f5c94d2ef96f,15,Isaacs,1698,47432,1.609588032,2.259595097,3.869183129,species,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus butcheri,yellow-finned bream,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b75a8371-ee27-4f4e-9b09-4fa279e5c5f7,1075,Jagajaga,1163,45820,1.504940296,2.532498813,4.037439108,species,Chordata,Aves,Psittaciformes,Psittacidae,Glossopsitta concinna,Musk Lorikeet,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:03229bdf-31a4-4ada-aeb8-076e461fd602,224,Kennedy,4417,305421,1.362229037,3.483793845,4.846022882,species,Chordata,Aves,Anseriformes,Anatidae,Nettapus coromandelianus,Cotton Pygmy-goose,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:7b83b270-c1d1-4753-8aef-d5c4b9d3804b,37,Kingsford Smith,1712,29144,1.8428674,2.380678287,4.223545686,species,Chordata,Actinopterygii,Perciformes,Monodactylidae,Schuettea scalaripinnis,ladder-finned pomfret,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:2c50c2f6-7a0d-44e1-b549-458427b420c4,19,Kingston,1077,13450,-0.164400041,3.336662952,3.172262912,species,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes dumerilii,Eastern Banjo Frog,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:3aca9928-daf5-416d-a343-60e194b2c2c2,60,Kooyong,855,10594,-0.229292527,2.536541594,2.307249068,species,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus scapularis,Australian King-parrot,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:291b43fb-26da-409c-aca7-5f4c5e2e9856,195,La Trobe,1722,30293,0.69951201,3.218270863,3.917782873,species,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis flabelliformis,Fan-tailed Cuckoo,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f1a17af7-9855-4ca5-8573-e9fd3e1f57a9,45,Lalor,569,85197,0.656846988,3.594740154,4.251587142,species,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris tenuirostris,Great Knot,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:242e9696-c125-4c1a-865d-85a00199cadf,1427,Leichhardt,5544,206521,1.898578582,3.56417336,5.462751942,species,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa lapponica,Bar-tailed Godwit,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:3e3f32e7-1946-4a53-887b-aeaaf920537b,195,Lilley,1440,90451,0.657440398,2.854796326,3.512236724,species,Chordata,Aves,Cuculiformes,Cuculidae,Scythrops novaehollandiae,Channel-billed Cuckoo,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:c1d2d6c3-1123-4461-8c07-3254ea76f391,29,Lindsay,728,22960,0.972659797,2.079588562,3.052248359,species,Chordata,Reptilia,Squamata,Elapidae,Pseudechis porphyriacus,Red-bellied Black Snake,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:6c4cfe42-65cf-4538-81ac-8440fe7916b9,2458,Lingiari,3000,206785,2.102847287,3.354842974,5.457690261,species,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua sanguinea,Little Corella,NT,,,,
urn:lsid:biodiversity.org.au:afd.taxon:55d8f414-6423-4997-8610-2978cd084b4c,1469,Longman,3389,71065,0.850932197,3.219054274,4.069986471,species,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus miles,Masked Lapwing,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:82f18b82-bc29-4847-83bc-eb94f72843ae,33,Lyne,4411,151502,1.501985273,3.202269105,4.704254378,species,Chordata,Reptilia,Squamata,Scincidae,Lampropholis delicata,Dark-flecked Garden Sunskink,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:42ff2e76-ee4c-4a84-ac4a-024896be875a,312,Lyons,2887,46687,1.508110468,3.191756834,4.699867302,species,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax fuscescens,Black-faced Cormorant,TAS,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b9b34bcf-4b63-4cd6-8d9f-2b9b6ad97936,11,Macarthur,623,16056,1.212492173,1.125038605,2.337530778,species,Chordata,Mammalia,Chiroptera,Molossidae,Micronomus norfolkensis,Eastern Freetail-bat,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7,169,Mackellar,2015,38316,1.340904809,2.777701518,4.118606327,species,Chordata,Mammalia,Rodentia,Muridae,Rattus fuscipes,Bush Rat,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:decc8626-8424-4ffc-8d2e-474b316453a9,458,Macnamara,1055,51159,1.991717599,2.381389283,4.373106882,species,Chordata,Aves,Ciconiiformes,Ardeidae,Nycticorax caledonicus,Nankeen night heron,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:73375100-0957-49a5-94e8-ec0599a60dd0,92,Macquarie,3086,113225,2.270102846,2.623758658,4.893861504,species,Chordata,Reptilia,Squamata,Agamidae,Rankinia diemensis,Mountain Dragon,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:82bbd853-36e5-4813-9c9d-9be3b01d5965,93,Makin,1039,14819,2.700146808,1.159049937,3.859196744,species,Chordata,Aves,Gruiformes,Rallidae,Porphyrio porphyrio,Purple Swamphen,SA,,,,
