taxonConceptID,count,electorate,electorate_spp,electorate_sum,z_species,z_electorate,z_sum,rank,phylum,class,order,family,species,vernacular_name,state,image_author,image_licence,image_url,image_filename
urn:lsid:biodiversity.org.au:afd.taxon:ad0892cf-8c75-45f2-9af5-dc1cf86194b0,15,Adelaide,1060,20005,0.992245287,1.301682597,2.293927884,species,Chordata,Actinopterygii,Perciformes,Eleotridae,Philypnodon grandiceps,Flathead Gudgeon,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:106a7d9b-dbf8-428f-8ac0-95d545a9dc44,21,Aston,1382,56622,0.843576102,3.199325124,4.042901226,species,Chordata,Aves,Gruiformes,Rallidae,Lewinia pectoralis,Lewin's Rail,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:77929aae-e7de-48dd-aac9-ba1080d28783,54,Ballarat,2075,97395,1.43532446,3.094032014,4.529356474,species,Chordata,Aves,Passeriformes,Monarchidae,Myiagra cyanoleuca,Satin Flycatcher,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:31ee79a4-1139-4c4e-b9e8-fcd21ac69d5b,58,Banks,686,18492,0.101065119,3.312632093,3.413697212,species,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax varius,Pied Cormorant,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:e0f62784-decc-4b24-81b6-555c55589eed,19,Barker,2877,82089,1.933413788,2.645327318,4.578741107,species,Chordata,Reptilia,Squamata,Scincidae,Lerista bougainvillii,South-eastern Slider,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b2bf49cd-3e0d-4b13-9315-670adfddeba7,69,Barton,615,18483,0.616502428,2.539850113,3.156352541,species,Chordata,Amphibia,Anura,Hylidae,Litoria peronii,Peron's Tree Frog,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:ba624e08-5847-4c34-96cf-c3b414f00117,33,Bass,1794,14700,0.060630477,3.708358947,3.768989425,species,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris ruficollis,Red-necked Stint,TAS,,,,
urn:lsid:biodiversity.org.au:afd.taxon:72e91e1a-63eb-488c-95d5-f4dd467b7fe8,256,Bean,1315,146449,0.899691589,3.516514711,4.4162063,species,Chordata,Aves,Passeriformes,Acanthizidae,Aphelocephala leucopsis,Southern Whiteface,ACT,,,,
urn:lsid:biodiversity.org.au:afd.taxon:ac2de3ed-ffb5-4792-b765-0331102d3238,445,Bendigo,1171,88372,1.550723398,2.867975478,4.418698876,species,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes tasmaniensis,Spotted Grass Frog,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:d33f5b1c-df22-42ea-9347-58f229a53054,33,Bennelong,975,15297,0.025895154,2.729169002,2.755064156,species,Chordata,Amphibia,Anura,Hylidae,Litoria fallax,Eastern Dwarf Tree Frog,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:261f11a9-8780-4ece-a929-ba3bb6ac4382,186,Berowra,1161,19125,0.757078113,2.353130983,3.110209097,species,Chordata,Aves,Passeriformes,Acanthizidae,Gerygone mouki,Brown Gerygone,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:025b08d1-0e50-4723-b581-9be91d8d09ed,273,Blair,2379,106272,1.112208284,3.454319091,4.566527375,species,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura rufifrons,Rufous Fantail,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:2634171f-c9e7-4f4a-9774-35ec20210765,85,Blaxland,1425,7000,-1.111824224,1.421718143,0.309893919,species,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura leucophrys,Willie Wagtail,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:e43380b0-e34a-4bd3-996d-8c8dfdb10a3e,2813,Bonner,2122,141359,1.200991187,3.326066367,4.527057554,species,Chordata,Aves,Passeriformes,Meliphagidae,Lichmera indistincta,Brown Honeyeater,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:e4cb55f5-5a18-48c5-85e7-800be09c953e,60,Boothby,1558,12831,2.002534556,2.524719578,4.527254134,species,Chordata,Reptilia,Squamata,Gekkonidae,Christinus marmoratus,Marbled Gecko,SA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723,506,Bowman,1596,54404,1.163240636,3.371792723,4.535033359,species,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus leucogaster,white-bellied sea-eagle,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:7662aa0a-d690-473e-949b-111446433e14,192,Braddon,2086,56359,1.56928859,2.865440235,4.434728825,species,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus tricolor,Banded Lapwing,TAS,,,,
urn:lsid:biodiversity.org.au:afd.taxon:b2930e11-70cd-4c03-8fa1-f06fec607cac,36,Bradfield,1500,17168,1.106447951,2.634193614,3.740641565,species,Chordata,Mammalia,Chiroptera,Vespertilionidae,Vespadelus vulturnus,Little Forest Bat,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:920b5569-aa29-4311-9f33-13bac4512b1d,25,Brand,680,10502,0.546548152,3.118298484,3.664846635,species,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis hypoleucos,Common Sandpiper,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:497a87d6-0d10-4baa-8c96-9b0e684b0a52,634,Brisbane,1043,23453,0.648537871,2.636809617,3.285347488,species,Chordata,Aves,Passeriformes,Oriolidae,Sphecotheres vieilloti,Australasian Figbird,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:f01d2520-d55e-441d-89a4-33323ee5f0b8,18,Bruce,785,15188,0.734261334,1.98050148,2.714762814,species,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea modesta,Eastern Great Egret,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:5b444966-4c12-4cd3-ad12-a4537746e902,373,Burt,458,6334,1.474664648,2.503850757,3.978515404,species,Chordata,Amphibia,Anura,Hylidae,Litoria moorei,Moore's Frog,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:7e891f26-c72e-4b29-98db-1cd10c4eaa6d,120,Calare,2123,112336,1.186528533,3.993518923,5.180047456,species,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides volans,Greater Glider,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:2f6104f3-8fc4-4622-840d-331dbd19defc,179,Calwell,885,16348,0.798718947,3.643295625,4.442014572,species,Chordata,Aves,Passeriformes,Artamidae,Artamus cyanopterus,Dusky Woodswallow,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,109,Canberra,2235,250008,2.627210522,3.160793994,5.788004516,species,Chordata,Mammalia,Rodentia,Muridae,Hydromys chrysogaster,Water-rat,ACT,,,,
urn:lsid:biodiversity.org.au:afd.taxon:09643354-9293-4eed-a252-b797a8076e51,451,Canning,904,39225,1.208907969,2.878008702,4.086916671,species,Chordata,Aves,Ciconiiformes,Ardeidae,Egretta garzetta,Little Egret,WA,,,,
urn:lsid:biodiversity.org.au:afd.taxon:8e407974-a2d8-4ee0-a05f-5c956d6cfad8,79,Capricornia,2237,52093,0.409926331,3.129031749,3.53895808,species,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius ruficapillus,Red-capped Dotterel,QLD,,,,
urn:lsid:biodiversity.org.au:afd.taxon:a33e7ff0-913f-43c5-8b37-40ab03b0f3d6,68,Casey,3171,89804,1.907801922,1.703683491,3.611485413,species,Chordata,Reptilia,Squamata,Scincidae,Anepischetosia maccoyi,Highlands Forest-skink,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:d14f5c5b-117a-4138-910a-f954cee75390,36,Chifley,422,2947,-0.475608139,2.264933224,1.789325086,species,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus eximius,Eastern Rosella,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:1cc98443-ce0f-47fd-a47e-912a3272bd71,183,Chisholm,1225,83077,0.929210637,2.104155809,3.033366446,species,Chordata,Aves,Falconiformes,Accipitridae,Accipiter fasciatus,Brown Goshawk,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:0f520c9b-90ac-4a0b-bc2e-800b4f5a2665,970,Clark,2112,30488,0.458097748,2.819644104,3.277741852,species,Chordata,Aves,Passeriformes,Maluridae,Malurus cyaneus,Superb Fairy-wren,TAS,,,,
urn:lsid:biodiversity.org.au:afd.taxon:73df0898-150d-464b-8748-6383268fbb5e,184,Cook,1420,30207,2.107092665,3.009327451,5.116420116,species,Chordata,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus fuscus,Red Morwong,NSW,,,,
urn:lsid:biodiversity.org.au:afd.taxon:009f885b-605a-4f07-9679-b7c12b7ef387,313,Cooper,1045,32227,0.097955824,3.166726426,3.26468225,species,Chordata,Aves,Ciconiiformes,Ardeidae,Egretta novaehollandiae,White-faced Heron,VIC,,,,
urn:lsid:biodiversity.org.au:afd.taxon:fbef87a7-34cc-4eca-9c32-b951c51c840c,1357,Corangamite,1768,104429,1.449414447,3.353772022,4.80318647,species,Chordata,Aves,Anseriformes,Anatidae,Anas castanea,Chestnut Teal,VIC,,,,
