taxonConceptID,count,electorate,electorate_sum,prop_by_electorate,z_score_proportions,z_score_counts,z_squared,rank,phylum,class,order,family,species,vernacular_name,state
urn:lsid:biodiversity.org.au:afd.taxon:b89f6072-46a2-4c1f-a417-fd45ee4d5c3f,254,Adelaide,23262,0.010919096,9.946497485,2.849650503,28.34404156,species,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,Tau Emerald,SA
urn:lsid:biodiversity.org.au:afd.taxon:407afffc-c4ae-4707-89c8-cbd36847e856,14,Aston,70767,0.000197832,2.869345327,1.26907228,3.641406616,species,Arthropoda,Insecta,Lepidoptera,Hepialidae,Oxycanus dirempta,Swift Moth,VIC
urn:lsid:biodiversity.org.au:afd.taxon:71c9326f-b797-4286-9fae-375b7fc2f53d,94,Ballarat,119460,0.000786874,4.654527793,2.855427892,13.29066849,species,Arthropoda,Insecta,Odonata,Coenagrionidae,Xanthagrion erythroneurum,Red and Blue Damsel,VIC
urn:lsid:biodiversity.org.au:afd.taxon:37636e2e-3e48-49df-9b19-fcf4e5e93712,29,Banks,21637,0.001340297,3.134607,1.46007583,4.576763918,species,Chordata,Reptilia,Squamata,Scincidae,Saiphos equalis,Three-toed Skink,NSW
urn:lsid:biodiversity.org.au:afd.taxon:6d4d6d5a-9a41-4251-bad4-044b44135f5d,57,Barker,95650,0.000595923,5.759661198,4.507926041,25.9641267,species,Arthropoda,Insecta,Hymenoptera,Scoliidae,Scolia verticalis,Blue Flower Wasp,SA
urn:lsid:biodiversity.org.au:afd.taxon:b77e1af2-85ec-4d71-b6ce-cb46608e1536,290,Barton,23465,0.012358832,4.177128038,0.83875557,3.503589407,species,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola exilis,Golden-headed Cisticola,NSW
urn:lsid:biodiversity.org.au:afd.taxon:ac577c71-de37-431e-9a4c-9ad33d4de1c6,11,Bass,17466,0.000629795,3.584470967,3.008875923,10.78522839,species,Arthropoda,Insecta,Coleoptera,Carabidae,Sarothrocrepis civica,Arboreal Ground Beetle,TAS
urn:lsid:biodiversity.org.au:afd.taxon:ab945317-2d4a-4ee8-93b1-ae21974ef6d7,1830,Bean,177237,0.010325158,3.438027256,1.81447976,6.23823087,species,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza lineata,Striated Thornbill,ACT
urn:lsid:biodiversity.org.au:afd.taxon:0a888edc-bb4d-4d60-9849-53a928044f3c,1331,Bendigo,101858,0.013067211,6.355165675,2.019464668,12.83403254,species,Chordata,Aves,Passeriformes,Meliphagidae,Ptilotula fusca,Fuscous Honeyeater,VIC
urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2,226,Bennelong,18060,0.012513843,4.202638501,1.734444919,7.289244995,species,Chordata,Aves,Strigiformes,Strigidae,Ninox strenua,Powerful Owl,NSW
urn:lsid:biodiversity.org.au:afd.taxon:0a428181-631e-449d-9b4f-48ec02abaac3,46,Berowra,22392,0.002054305,3.988797669,2.125892389,8.479754604,species,Arthropoda,Malacostraca,Decapoda,Heloeciidae,Heloecius cordiformis,Semaphore Crab,NSW
urn:lsid:biodiversity.org.au:afd.taxon:d49cad90-2ccc-4db6-8478-aab368fdb08d,523,Blair,120695,0.004333237,3.186231028,1.912908512,6.094968453,species,Chordata,Aves,Galliformes,Phasianidae,Coturnix ypsilophora,Swamp Quail,QLD
