electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Braddon,64288,236,urn:lsid:biodiversity.org.au:afd.taxon:7662aa0a-d690-473e-949b-111446433e14,Vanellus tricolor,Animalia,Chordata,192,64288,0.00298656,3.375072672,Vanellus (Lobivanellus) tricolor,"(Vieillot, 1818)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Banded Lapwing,noIssue,TAS
Bradfield,14651,249,urn:lsid:biodiversity.org.au:afd.taxon:57842363-1c36-40d7-b3f6-a3baeb2fa50f,Miniopterus orianae,Animalia,Chordata,114,14651,0.007781039,5.827410201,Miniopterus orianae oceanensis,"Maeda, 1982",subspecies,taxonIdMatch,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Eastern Bent-winged Bat,noIssue,NSW
Brand,10820,209,urn:lsid:biodiversity.org.au:afd.taxon:c46afabe-2ea4-43e5-8f4d-4075e7f82589,Eudyptula minor,Animalia,Chordata,42,10820,0.003881701,4.530785773,Eudyptula minor,"(J.R. Forster, 1781)",species,taxonIdMatch,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Little Penguin,noIssue,WA
Brisbane,25006,218,urn:lsid:biodiversity.org.au:afd.taxon:106a7d9b-dbf8-428f-8ac0-95d545a9dc44,Lewinia pectoralis,Animalia,Chordata,115,25006,0.004598896,7.264802239,Lewinia pectoralis,"(Temminck, 1831)",species,taxonIdMatch,Chordata,Aves,Gruiformes,Rallidae,Lewinia,Lewin's Rail,noIssue,QLD
Bruce,17405,188,urn:lsid:biodiversity.org.au:afd.taxon:291b43fb-26da-409c-aca7-5f4c5e2e9856,Cacomantis flabelliformis,Animalia,Chordata,177,17405,0.010169492,4.019015548,Cacomantis (Vidgenia) flabelliformis,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis,Fan-tailed Cuckoo,noIssue,VIC
Burt,6451,168,urn:lsid:biodiversity.org.au:afd.taxon:cb90081d-ee94-4fe8-a028-91c292836d69,Ardea pacifica,Animalia,Chordata,40,6451,0.006200589,4.303328798,Ardea (Ardea) pacifica,"Latham, 1801",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea,White-necked Heron,noIssue,WA
Calare,138979,448,urn:lsid:biodiversity.org.au:afd.taxon:ef70e7c7-a3ca-4476-ac64-c2cbdc663562,Vespadelus regulus,Animalia,Chordata,271,138979,0.001949935,5.082669605,Vespadelus regulus,"(Thomas, 1906)",species,taxonIdMatch,Chordata,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Southern Forest Bat,noIssue,NSW
Calwell,18586,187,urn:lsid:biodiversity.org.au:afd.taxon:e3a02fd4-abea-49d9-82d5-98208455ecd3,Hieraaetus morphnoides,Animalia,Chordata,103,18586,0.005541806,5.841597724,Hieraaetus (Hieraaetus) morphnoides,"(Gould, 1841)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Hieraaetus,Little Eagle,noIssue,VIC
Canberra,307834,273,urn:lsid:biodiversity.org.au:afd.taxon:3b87e272-6e9b-4829-adfa-af648b5f0c49,Malacorhynchus membranaceus,Animalia,Chordata,1863,307834,0.006051963,2.025103668,Malacorhynchus membranaceus,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,Pink-eared Duck,noIssue,ACT
Canning,40783,273,urn:lsid:biodiversity.org.au:afd.taxon:186ec2cd-8267-4162-8c0a-7c6bc51262c2,Calidris melanotos,Animalia,Chordata,87,40783,0.002133242,5.55261098,Calidris (Erolia) melanotos,"(Vieillot, 1819)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Pectoral Sandpiper,noIssue,WA
