recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,country,stateProvince,year,geometry
640fa4a8-a7b1-4e94-86b8-10cd5c3ddceb,Uredo rangelii,ALA_DR22913_238,-35.681301,150.266318,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.266318, -35.681301)"
68ddb14e-5e1f-45fc-8f92-02889018936a,Uredo rangelii,ALA_DR22913_238,-35.569949,150.323955,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.323955, -35.569949)"
6c2cdf3f-627c-41fe-aa10-0aa807870395,Uredo rangelii,ALA_DR22913_238,-32.241107,152.201188,2011-05-27T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.201188, -32.241107)"
6f1fa8c6-2e23-4846-8b00-b2b2f3e0a9a1,Uredo rangelii,ALA_DR22913_238,-35.045591,150.58997,2011-08-28T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.58997, -35.045591)"
6f77bbc8-df8e-4d41-8283-7ee6db5009fd,Uredo rangelii,ALA_DR22913_238,-31.284436,152.519111,2011-09-27T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.519111, -31.284436)"
70b4b6d8-c682-4565-82e3-2450b2dcb67f,Uredo rangelii,ALA_DR22913_238,-29.677547,153.328675,2011-02-16T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.328675, -29.677547)"
727dc875-8c99-4274-a923-1359fc7c9ce2,Uredo rangelii,ALA_DR22913_238,-31.264565,152.52564,2011-10-21T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.52564, -31.264565)"
7402081a-1661-4279-92e5-0eb26e77a73e,Uredo rangelii,ALA_DR22913_238,-28.52013,152.57143,2011-01-27T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.57143, -28.52013)"
746afd48-d838-4653-93b6-4601bcc35699,Uredo rangelii,ALA_DR22913_238,-29.75856,153.291838,2011-02-16T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.291838, -29.75856)"
74af49bf-1b1d-4b47-9432-086489c3391c,Uredo rangelii,ALA_DR22913_238,-32.363071,152.234661,2011-05-16T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.234661, -32.363071)"
7744f08a-19f7-4ee1-903d-bf19afa52120,Uredo rangelii,ALA_DR22913_238,-32.936307,151.670587,2011-10-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(151.670587, -32.936307)"
7eb9c56c-dd80-4ee7-b6a3-338a5bbb1da7,Uredo rangelii,ALA_DR22913_238,-32.908333,151.729722,2011-12-10T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(151.729722, -32.908333)"
7f8e9a22-76bc-4bb4-bf4e-95ba719fb570,Uredo rangelii,ALA_DR22913_238,-28.692,153.295,2011-02-01T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.295, -28.692)"
8883a953-b33d-4814-b903-eb2e05c0b97b,Uredo rangelii,ALA_DR22913_238,-28.990806,153.408139,2011-01-25T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.408139, -28.990806)"
89491bc2-98d3-4b2a-9536-d34bb8f4d695,Uredo rangelii,ALA_DR22913_238,-30.372824,153.06555,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.06555, -30.372824)"
89587dd8-1bad-4800-af66-11ec4b4515cf,Uredo rangelii,ALA_DR22913_238,-32.204778,151.320333,2011-12-03T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(151.320333, -32.204778)"
898ac695-5af1-47d5-a00d-238f27f82e20,Uredo rangelii,ALA_DR22913_238,-35.012877,150.65372,2011-12-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.65372, -35.012877)"
89be2063-4fd5-4a9c-a816-d1165d0aef72,Uredo rangelii,ALA_DR22913_238,-35.045694,150.595112,2011-07-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.595112, -35.045694)"
8c9e0beb-edd2-4560-8b93-3fd13ba485f7,Uredo rangelii,ALA_DR22913_238,-32.19875,151.322194,2011-12-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(151.322194, -32.19875)"
9020b42b-fbe4-489e-bac2-67518c13ffff,Uredo rangelii,ALA_DR22913_238,-33.77,150.645,2011-04-07T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.645, -33.77)"
952c6570-d5f2-4513-98fa-366a7d37cbef,Uredo rangelii,ALA_DR22913_238,-30.941412,152.812844,2011-03-15T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.812844, -30.941412)"
